para_indx,g,k,n,lambda_pos,lambda_neg,thrs_A2toA1,thrs_B1toA1,thrs_A1toA2,thrs_B2toA2,thrs_A1toB1,thrs_B2toB1,thrs_A2toB2,thrs_B1toB2
61,13.68468771,0.092149755,2,37.34008612,0.02614737,61.70722561,73.48323596,46.1481301,63.89860883,75.07649979,62.90677933,87.93215716,74.89828456
62,22.20973646,0.016900647,6,46.51550573,0.022305785,55.71656646,25.65440658,11.27526314,12.81233723,83.29979812,64.34145439,54.8072905,77.52737337
63,55.09132081,0.033136875,5,58.76623601,0.736620161,31.72928098,10.00470617,35.94223307,22.79985938,72.70042934,70.049687,80.36854913,69.02066958
64,94.7563707,0.035186419,2,65.27476481,0.011563478,39.75959601,69.40563788,89.70512675,44.03136261,5.125204045,4.068033354,31.24928484,87.57421095
65,98.94846316,0.07965613,1,89.33664547,0.014989538,3.765935168,13.63298708,91.75781841,35.23587582,42.6871668,17.62953193,1.70978057,67.18346552
66,52.75145861,0.031489094,2,92.40035712,0.559835098,16.6969547,66.86173848,89.89174564,17.04983227,37.11958144,48.73917257,87.97724577,36.62269958
67,94.18801281,0.012892786,5,9.210118527,0.018347338,35.66059822,59.87032371,7.198321627,46.41936468,20.34128362,3.092647996,51.6600658,89.83293178
68,15.15287859,0.130963224,6,59.72102479,0.018657879,15.70551212,11.31608159,56.92592332,22.82572282,30.14573299,70.72235844,40.72407565,59.93271689
69,15.88273939,0.028822684,6,78.7878615,0.014621358,67.7759122,80.20284401,7.368980657,12.49340538,85.35296975,49.05923688,69.34750398,67.31403319
70,37.68819176,0.097198933,3,37.53584125,0.012519729,26.34510297,76.45105315,3.854129866,20.96647861,88.27090234,15.42582704,59.91992575,59.84508608
71,39.50249149,0.012648341,6,85.85863354,0.045554345,25.34579934,50.76818375,54.98197753,57.97054913,43.06284699,78.10393639,59.7422653,82.02643973
72,3.435267683,0.014642594,6,46.5424196,0.043626712,1.305950117,10.7281257,8.252568169,76.5376933,89.12904194,74.55344726,73.19600629,25.55285304
73,87.28150862,0.242594006,3,70.1195793,0.016966652,78.98948031,54.17178829,44.32875508,63.54554137,42.71648359,12.15715922,19.52110211,79.18609926
74,66.06145248,0.015357108,5,37.66358505,0.022336714,68.0933994,15.13146791,34.89675231,18.44670344,86.8580264,11.59349645,2.17425536,39.20943127
75,48.10450873,0.013359116,5,36.94563628,0.018906962,31.68161642,6.563134161,22.7045694,63.29668084,45.18110266,38.46741823,40.68774571,15.83787965
76,95.49109357,0.03342031,3,78.99272215,0.038487355,18.27906551,87.79022399,8.255107298,19.20359116,4.549132559,88.55647843,43.22841612,10.34384281
77,15.60261279,0.012543103,4,21.90686456,0.2300964,49.70406105,40.06243818,26.39288469,39.38723385,53.01992037,79.0047879,8.000974594,42.80559783
78,93.73555644,0.014746207,6,73.15668849,0.028401886,27.06447028,20.13084332,38.54119323,52.52037132,72.62231324,44.34205886,60.50611803,30.73903952
79,46.49592595,0.017004418,3,75.16110096,0.010345009,20.20732036,57.70976237,23.58736604,28.82070141,47.13690283,28.43575749,84.15806621,72.6391026
80,22.07837975,0.012024462,2,51.96417265,0.013769133,72.95728119,54.85547208,37.86395785,53.37423139,26.17043591,92.78326153,25.31837818,44.23203999
81,24.9323752,0.033508571,1,75.15729233,0.011187596,34.48831717,32.1587565,92.64522052,86.5013884,27.21569791,94.51469352,42.24789405,9.239005861
82,56.99114397,0.010571133,6,69.01230346,0.142223035,34.31464542,64.03714768,22.61628124,60.33878686,17.60130642,66.85896835,22.73673229,85.2655422
83,97.81301916,0.03003722,3,71.1448545,0.031175475,22.89384271,50.24360198,23.6518402,48.90136135,33.10386661,32.98829991,61.94533124,8.082820153
84,41.33599585,0.089109274,5,12.27872943,0.116863799,5.118897819,66.06566091,15.85297656,54.85082681,29.08638109,2.690523852,3.834556031,22.77005187
85,59.79132137,0.018836012,5,89.93546094,0.014869169,18.89389774,41.75862545,15.27834613,66.81219565,90.69953842,59.81111699,2.965232912,65.37937506
86,41.24774603,0.047357179,5,99.4428796,0.022765488,88.69822674,81.79919769,53.28866012,89.67362154,35.63349697,39.15116684,34.98854807,43.51976727
87,1.082040242,0.027194617,4,12.16633857,0.011471374,36.52146275,14.46741392,5.788810459,76.98930983,58.94902263,43.20473961,46.48938398,37.08134645
88,63.03147871,0.017248997,6,90.63871522,0.049026198,31.83802497,81.35957057,42.9803578,49.71208008,63.01863798,87.08866238,1.205651492,73.23129257
89,20.07177307,0.698636264,5,75.45150012,0.011841262,42.9281526,86.04998519,85.9199024,24.82792377,20.04328024,11.55938405,46.89996036,92.10830307
90,60.12222828,0.043594407,5,32.1968635,0.012464654,58.88485045,57.6855507,37.70421615,76.32475603,14.59251012,36.96068442,30.66253024,55.4662949
91,23.05570244,0.043692227,2,89.66748928,0.012876023,86.08865381,50.67863966,18.52072707,82.46545736,48.55045503,32.75637914,69.50754135,49.79564686
92,72.85859551,0.485684805,3,73.43329913,0.010274011,14.98833652,60.9398002,52.24822425,41.99014923,57.4859383,74.39993298,43.97480783,85.10936039
93,50.69352379,0.044803868,2,66.44251819,0.010552766,35.25654217,52.44346111,31.60740212,89.51385277,8.785616386,47.53121719,5.491836798,36.58196873
94,76.77402217,0.023252476,2,32.6310574,0.394962246,44.0959274,20.04884419,84.94985228,5.128828942,15.7868705,61.22417161,78.27460771,60.51896654
95,19.5065908,0.022586052,4,42.16853624,0.032600993,65.41968768,9.127576306,7.184702202,47.47876263,53.30894561,71.20309729,25.15762003,17.7467938
96,29.87429729,0.021192703,6,74.71479974,0.011059123,8.847529093,30.10690495,48.13877888,51.02473434,28.84184826,58.10818966,31.23620866,68.87489545
97,79.38552654,0.023531102,4,8.189698056,0.021044705,77.47872269,89.40554018,1.837978771,47.29607472,19.04871082,67.41046761,5.743123438,61.26475904
98,35.74577151,0.01026324,2,10.44848822,0.010457627,85.78751936,42.03353649,83.99561392,70.43748399,90.49476115,90.54433052,85.51827874,85.89040067
99,45.1788272,0.05595728,6,32.00114651,0.02331136,34.6691116,40.00313133,70.24456372,71.46167261,71.76098681,46.72767433,66.75841915,51.0435653
100,17.14212134,0.03828484,6,10.47421491,0.045621429,76.63334375,89.92970078,15.71663915,22.80153502,38.55849623,22.63728928,83.69744541,60.75491439
101,56.66886723,0.168065733,2,4.072397118,0.090453193,35.51558715,69.01806414,31.50155149,18.54046462,71.4919993,92.30447134,26.20191894,52.78661566
102,91.3418535,0.013091362,4,72.62621167,0.091483432,20.12062617,81.32639185,68.04303798,92.62769255,93.71131123,1.717015522,48.84928595,69.72948567
103,22.85899239,0.015671485,1,16.02086897,0.399939203,60.14600294,28.0122289,64.35199243,83.66954046,72.21812561,31.04649771,8.210747763,42.9164027
104,94.30428722,0.044602352,4,69.37130304,0.053857562,11.38156924,28.77270536,16.62811424,4.263058258,68.42571876,56.01227038,84.38290631,16.96868828
105,71.77067949,0.030129386,1,17.91861117,0.012425611,57.35847676,31.28235937,45.82292461,46.51885555,11.57225941,8.628395125,72.38447014,49.55137344
106,52.08556821,0.013411734,2,57.02432715,0.022138506,73.50472904,55.28876025,76.39043537,29.03194036,80.99528976,92.16569373,16.07675609,45.69705133
107,39.48789037,0.078048717,2,76.05838413,0.01054765,61.93091606,65.87153036,51.87191156,87.37380158,79.8486678,55.71219075,75.76330283,34.25446455
108,21.62216141,0.018754416,3,64.53684613,0.013668639,34.4773414,63.79400382,77.22041765,61.91707254,28.24175091,31.95861826,92.80792022,31.45179108
109,89.58030211,0.037978272,3,65.94841307,0.641091761,86.38007374,52.55290322,27.42002721,46.42464731,16.79339648,83.01185419,29.7248348,84.22814549
110,78.04283055,0.01855834,4,31.28145066,0.011841438,83.84192767,21.43093757,39.51188968,31.02090629,28.69964311,89.8457399,77.28110365,36.8480023
111,3.21258358,0.01126841,1,28.56985702,0.010967831,66.65487116,26.95010536,45.69808354,11.56111286,55.88293452,81.60801748,48.23907083,37.77602585
112,79.40261473,0.070957727,6,33.30660947,0.021457079,45.32731611,54.95887817,82.98103214,58.16336788,58.5245855,6.938310532,75.78087974,50.60202512
113,46.82867415,0.012152857,3,48.4829041,0.011506696,59.85177001,76.03835967,86.54785454,31.92238819,95.14831133,89.42742181,78.4369907,80.07714132
114,75.59639617,0.093367719,3,14.22192954,0.018147393,42.76919271,15.11640329,16.67083883,69.07500372,59.49909454,54.60706636,69.03398484,65.25683771
115,56.968842,0.045205865,4,43.88693518,0.102022379,60.32788341,41.92840867,45.91909866,60.3944939,70.24933212,76.34931482,49.64003112,42.04991502
116,18.47891456,0.011532116,3,87.54570113,0.015855431,66.23806211,19.231073,20.02404287,78.49094512,3.359138159,84.52187775,84.52480751,38.75721481
117,64.11008512,0.016804612,1,30.30185266,0.012182228,13.09805027,12.96189864,37.73143617,92.53241532,22.69584713,80.43452968,74.69616063,82.54653437
118,93.54957485,0.028732606,1,24.29141115,0.010145358,26.06379115,4.364146773,79.3205346,40.31994604,2.167388945,77.44304415,19.6288579,48.43384267
119,33.89129793,0.014400533,3,6.688789532,0.012110654,66.12957988,10.93424206,91.78626334,43.03756736,10.59740201,29.07319788,10.0704926,88.63154943
120,67.30212001,0.091214854,3,2.866695481,0.07274526,19.98683688,28.12175917,63.55532422,48.80286441,88.92195404,33.37893249,77.95019066,74.04117277
121,10.14701306,0.01968579,5,67.60249135,0.012693686,51.98964658,76.38327193,39.98986244,80.33986176,52.93637378,25.99956302,25.27678494,46.31711393
122,46.28309914,0.011388838,4,41.2520081,0.013762271,4.755619006,46.03535889,16.10621206,32.17186577,12.00782189,84.06812877,50.27714086,10.92464026
123,54.31151879,0.093319528,2,13.52378319,0.144222827,59.9395054,35.10518365,91.69879083,28.44463837,26.0554189,39.03985328,59.37988429,66.98160341
124,2.058030984,0.055867122,3,47.80817042,0.011318858,15.89497229,65.29547401,81.36030794,76.12960904,90.2106538,9.716386185,67.1006985,31.73969038
125,38.17358997,0.02397988,1,56.62386438,0.032510017,41.65745689,4.653570807,37.86068735,36.35895953,60.01952685,27.80578287,29.58440406,52.40494739
126,5.073140078,0.01978389,1,88.13532163,0.01441755,67.92237234,88.37922616,71.74054866,41.57719397,2.019377416,88.023291,10.38516329,19.55808197
127,25.5696319,0.012136641,3,70.41021774,0.012414425,69.53336356,50.02630694,1.370474239,33.5433858,16.54296687,38.39039624,21.31926883,25.16729404
128,97.33560303,0.010227292,4,80.45771205,0.012982449,1.474189422,9.526068302,55.19924842,13.03391939,81.80305101,22.26691399,22.62788889,77.34982289
129,36.32503754,0.120011251,4,3.693748905,0.0114017,22.62639925,32.26412504,14.72531311,33.70587568,8.689388621,33.17547236,23.61784575,83.50709335
130,46.51631983,0.033191792,1,3.811352536,0.036738577,56.68280425,18.26708068,32.15238429,49.06149272,13.3148352,43.32466514,67.43917009,21.93233696
131,84.71183234,0.056797015,5,48.52248004,0.011271981,24.6559494,34.81851108,12.74040205,70.01017833,35.42604309,57.35573374,64.1256295,19.53126233
132,65.21094606,0.010351877,2,68.89161139,0.013635252,49.48491207,37.69748096,49.40912752,33.36978783,18.17116542,84.60283262,90.561623,77.59265572
133,55.59182367,0.015054169,3,20.04309356,0.012879755,86.75413578,59.87166272,82.74499159,15.28679092,49.35659422,79.07153292,50.95913417,5.253576646
134,89.46161563,0.117035164,6,70.51539913,0.010980434,2.422547899,43.29536173,8.349698544,3.729770849,58.2073049,15.26979856,84.86186638,84.83907472
135,96.54516175,0.153395777,4,41.72161678,0.014312251,8.260567642,41.76177686,92.7329775,13.19933935,63.99705158,2.198369638,66.43377364,92.60953406
136,55.80331702,0.011758871,1,74.1087979,0.017694086,62.30083452,30.19043554,87.77454226,89.48528975,17.34589974,76.59699552,43.58264717,91.94381383
137,88.09699358,0.015483394,4,94.60661911,0.848067664,76.69654983,89.74978256,82.50525868,69.72313131,10.44371802,1.788687078,63.78994495,36.16276315
138,21.4985447,0.02546555,1,47.81357014,0.018727448,71.13292947,82.95157004,15.33115698,17.25936165,79.60239963,86.90550805,18.0248817,22.21966363
139,30.01450713,0.022575531,3,57.26838991,0.100691563,33.1671599,65.57575751,51.34966454,28.81865249,55.08622078,60.36010976,83.3602166,84.88970168
140,77.21744296,0.010142805,1,99.50309263,0.013319749,69.45194896,69.73555562,36.3323938,90.28817185,8.455660863,21.86873739,60.95635298,40.46208373
141,58.29605545,0.082343986,1,86.90591789,0.011884783,74.48264609,51.93597321,42.20774273,7.878791599,61.30626595,72.11283064,4.980602404,88.00442241
142,76.57227608,0.024627658,4,51.30311024,0.069221224,26.97129475,70.87668953,46.49851122,15.52872554,77.81088576,60.43870992,89.1874634,54.09976357
143,21.63080611,0.021046461,6,40.58045348,0.011428804,36.22023269,61.71374011,22.00504966,16.00998521,6.022377255,41.83857812,42.88827509,56.64250275
144,38.65828878,0.010305429,2,68.51696293,0.021485776,46.92692954,50.74628329,20.30235491,41.23888351,86.88141989,60.43696281,49.73554705,52.58606736
145,2.324374667,0.01494546,6,30.4928622,0.010236357,15.99902151,69.67470146,11.19840819,62.75579317,42.56609045,37.17223219,15.22389056,89.5596752
146,29.4421923,0.016494426,5,96.12456775,0.010156342,1.785993986,75.77972159,49.07631225,38.08963594,78.43618278,12.75871803,2.559215457,7.945132931
147,92.62056987,0.030142806,4,35.10563438,0.010784685,26.36414776,8.156421786,56.43022441,74.26155061,39.88723623,21.4513138,75.49088458,72.06181337
148,42.01233578,0.010479222,3,56.20472724,0.02318869,21.56472338,88.50208317,78.80462084,28.37400921,61.62893332,41.793979,75.31420548,36.55825757
149,30.24916132,0.011614528,2,32.93415444,0.030153847,20.90308032,86.58889461,72.14113579,80.24123019,46.24710266,65.15344832,77.60012818,81.67398023
150,23.90531947,0.016997199,3,74.24384753,0.027879789,5.88004273,25.79445944,75.99919574,17.0732873,55.89771018,28.74758939,22.21430743,75.85975966
151,18.03605488,0.054198403,4,46.58551511,0.013067462,31.70072885,74.15461472,39.33068381,54.39895673,93.22298683,65.61049339,29.29092494,81.39292236
152,99.24330085,0.063426311,3,78.38348689,0.011525228,9.409032533,56.76723612,22.57520056,28.98982266,65.60195824,40.92032823,11.16382142,15.08161796
153,22.54744399,0.015940471,2,13.43520206,0.023341152,25.43745739,14.49237126,45.85694276,25.99209182,45.25048808,14.16046177,52.24779977,47.32361406
154,80.43625727,0.025972916,1,70.26891701,0.013417311,92.32023565,85.89687346,60.93555277,36.68369499,68.94680139,57.50352581,72.76405723,5.769713995
155,67.7722459,0.047392157,6,2.786121284,0.010056024,14.60882242,10.47799719,77.20078703,66.53960418,56.44699476,65.93476061,52.63333006,63.74706784
156,78.71729569,0.022624528,1,67.54862154,0.01004923,8.638459057,76.17309406,51.85828421,26.01357479,87.63697629,93.68930838,80.83341673,77.23976263
157,88.42468177,0.014476834,6,88.42598878,0.01802355,29.71911869,4.07683989,56.67063758,51.01899933,25.69120722,51.34670966,73.91003487,33.67704557
158,8.322208275,0.019886651,3,56.55239229,0.01398609,59.52541201,22.44843103,44.44702602,55.19541461,72.87423416,62.93485335,90.18446955,68.15984645
159,26.57457077,0.015447425,5,1.866226856,0.159494647,61.58711572,7.684484266,55.45591827,72.01104364,8.037393667,91.91104307,62.1076102,47.5059294
160,34.40383691,0.012549451,1,86.4336339,0.015140645,83.16760319,74.40636222,48.58647242,73.86539508,12.50398465,4.619389971,32.59108316,49.5701818
161,41.11960311,0.013995777,4,92.21632266,0.023224069,65.61271344,58.66074556,27.82460437,20.04659631,3.268737015,10.9232753,45.06940624,31.94928201
162,2.640964403,0.021479365,5,11.34292943,0.028652168,63.39706661,11.16320638,52.54058747,50.9530082,52.96432801,24.87700029,61.98116529,30.51263413
163,68.21593203,0.017940659,5,70.26891701,0.040418984,38.62667006,70.85485873,15.06483877,26.51930551,6.520387962,42.36735559,72.70903952,38.39076662
164,64.05828927,0.011786595,6,55.00041271,0.011148429,77.75579447,73.468223,65.68205059,26.27040059,78.08870834,79.41029445,10.60129029,59.08965923
165,81.29607041,0.192638755,5,62.43947413,0.031790069,62.10752554,53.19272001,84.84428533,16.42790667,49.75972099,77.66957819,78.30543786,65.10659064
166,11.52894,0.090339067,4,42.18216244,0.019212312,91.50540701,62.55778059,55.8920961,45.56762613,50.4691963,90.06852208,69.50465167,33.01764402
167,90.99975714,0.053153526,2,28.84109326,0.013197693,25.65499981,29.27949828,15.31146693,50.5687736,17.52687105,84.42919889,12.87181072,41.25982622
168,86.38158353,0.012678909,3,67.21767205,0.183156278,81.41943407,41.38343284,32.61162855,24.6255549,8.145711022,40.85961974,64.32480513,34.77698648
169,98.03083709,0.060126018,4,7.318748197,0.062589859,43.6896834,55.1277146,23.64849976,78.60071385,19.58627921,1.553504566,66.69375216,1.908081583
170,7.344701581,0.011179123,1,4.440510594,0.023572509,69.45611338,52.91396909,65.96252426,53.45435553,74.51832144,34.42212837,52.18286337,78.97571353
171,8.890595986,0.012682369,2,3.822233387,0.091952559,48.76989282,75.40170548,42.5912859,87.28053444,56.77785443,18.08256788,9.79358079,13.20108413
172,38.45021249,0.048831338,2,49.8743938,0.016473551,89.3346628,3.562075752,69.12952512,1.837803811,86.25762478,9.193515154,82.16652785,43.69355627
173,19.42310128,0.017972745,3,25.75630075,0.012700154,59.46042247,88.19137927,61.89070356,54.69373374,27.46436554,89.24948216,5.126266965,1.612915068
174,41.05266769,0.01061404,4,54.07544295,0.015134981,74.21056827,63.19388576,90.98697868,13.70779035,81.47115861,21.14350406,90.5784241,88.54405382
175,94.2686667,0.011966302,4,56.34111069,0.015996815,15.95122162,4.223664199,82.16602406,6.996145651,5.624336499,16.38382954,32.94548458,58.05045289
176,77.0910101,0.013608851,6,89.73012596,0.014432357,43.18859243,44.29085709,58.88641989,48.32625151,64.05246312,24.11825191,67.66225769,67.4427573
177,21.3087944,0.010642174,6,43.19448442,0.014381766,55.1516979,39.81720075,13.20341489,46.01580389,69.5277762,12.64067803,88.52108884,88.65089453
178,52.75259327,0.078365395,1,74.66588981,0.036699163,45.71421598,69.09667632,26.17308723,16.03263344,3.007828446,34.3861923,65.65378319,35.06088355
179,68.45223814,0.010554796,1,92.36544237,0.492350968,80.74312954,86.65105022,55.88014764,57.98507912,20.06145008,19.31675971,72.99892017,78.373888
180,31.54458294,0.042363308,3,61.31842732,0.013835671,35.37945413,20.81500704,47.11724892,17.53985119,30.43108616,48.28457453,63.14081247,18.62901434
181,28.74773726,0.012030495,2,38.37467282,0.01301812,19.73849005,12.1422417,29.0336529,76.91758056,54.02180814,74.60872481,76.35572347,73.0291896
