para_indx,g,k,n,lambda_pos,lambda_neg,thrs_A2toA1,thrs_B1toA1,thrs_B2toA1,thrs_A1toA2,thrs_B1toA2,thrs_B2toA2,thrs_A1toB1,thrs_A2toB1,thrs_B2toB1,thrs_A1toB2,thrs_A2toB2,thrs_B1toB2
52,4.936385694,0.011768073,1,64.98335622,0.012566679,0.262500638,1.645012892,0.026381456,1.422433243,0.890305692,1.606996486,0.868032913,1.171408857,0.074403307,0.883084551,0.242343892,1.504660835
53,96.42937871,0.016289968,1,11.48391257,0.03595276,0.787961896,0.702421726,1.762316694,0.919657699,0.485911046,0.789419489,0.148464165,1.649289689,0.106590061,0.292267026,1.504149151,1.153165713
54,55.93981151,0.078369979,5,86.27155175,0.010145426,1.052347119,0.634647959,1.754583254,0.978551042,0.407090145,1.586812623,0.993845901,1.671864674,1.656073597,1.236687346,1.396918063,0.614164051
55,65.61423146,0.01205501,3,33.55911813,0.076433884,1.339763209,1.414018975,0.500260805,1.852548049,1.983696519,0.216456821,0.068277221,0.938106948,0.792415293,1.607134327,1.864694509,1.717389099
56,12.02728396,0.01057023,2,93.46090928,0.012076103,1.609832054,1.114068411,1.240972969,0.142991411,1.526201859,1.54359693,0.701397839,0.20615742,1.620632476,1.027558417,1.203245732,1.177718798
57,1.26039413,0.022014562,5,19.92211331,0.015379997,0.722370206,1.832160349,1.109070962,1.495461621,1.908621993,0.414891659,0.941715601,1.324567904,0.403655579,0.336034094,0.63969147,1.628431998
58,21.7213955,0.01154719,4,99.50590453,0.046243606,1.471997637,0.288801328,1.124989816,0.266904579,0.771317556,1.986265195,0.052676926,1.181239606,1.018920182,1.698564191,1.67962741,1.305549773
59,69.57122156,0.160217162,5,22.33095473,0.010326601,1.047560947,1.084866048,0.627808913,1.048904023,1.642188651,0.268678781,1.010285793,1.396448687,0.945013521,1.259450994,0.227389038,0.719188542
60,83.56949081,0.012594771,2,12.65717456,0.010303288,0.970481409,0.247070519,0.197979088,0.255236757,0.499150618,1.859758552,1.176057651,1.112912261,0.564106471,1.33066275,0.680565834,0.880170305
61,1.373439429,0.032810154,6,12.00222057,0.03700964,0.3290971,1.236162978,1.263140747,1.717041605,1.318756159,1.207710915,1.317313346,0.134130584,0.635853491,1.256246201,1.243580253,1.642759112
62,42.9220926,0.012425891,6,20.09386042,0.02333443,0.798734335,0.627739462,1.159190608,0.505130003,1.288398608,0.970670858,1.488565163,0.234020796,1.542371654,1.73825641,1.493994858,1.262824961
63,39.30626339,0.052900506,3,75.0116238,0.023049183,0.21186545,1.799458592,0.494643978,1.263592831,1.15034929,1.862989949,1.333226237,1.857062386,0.830061439,0.109982679,0.421498804,1.497771024
64,96.24862535,0.014884461,1,13.36555145,0.010364547,1.379481211,0.559398528,1.697956921,1.908297934,1.596482002,1.417984228,0.882321591,0.080005817,0.043697988,0.539929979,1.764493785,1.421849861
65,17.19503162,0.024867406,1,39.2605506,0.013931282,0.335336897,1.722027162,1.373402334,0.380591669,1.477019709,0.392168348,0.117547311,1.629936467,0.456248233,0.706509537,1.44812136,1.561427249
66,46.04214191,0.028705645,4,31.82259429,0.037234445,1.562270345,1.613491756,1.738426493,1.623076095,1.535639035,0.580515469,0.190466197,1.004816246,1.757859892,0.481730466,0.537713321,1.624453694
67,98.91948659,0.053183388,2,22.79332241,0.01077751,0.647253615,0.873337677,0.523947769,0.437698677,1.031283304,0.297576493,1.522359527,0.989206339,1.163289475,1.209775067,0.571063777,0.212595918
68,48.65187831,0.357289183,2,10.5650714,0.017855484,0.836351098,1.142467087,1.477914032,0.786835321,1.695579076,1.156816382,0.300692885,0.210835646,0.878839448,1.35688236,0.934801056,1.001615745
69,74.89400156,0.028935526,1,52.42545751,0.018508928,0.621880626,0.820659314,1.48693711,1.694744967,1.177655744,0.433298495,0.937099692,1.233292424,1.896481112,1.09117462,1.218145088,0.54791212
70,23.25898232,0.028705645,3,17.09987857,0.026280596,1.32390864,1.046310088,0.627665634,0.406250137,0.19919949,0.675461578,0.913845877,0.15043349,1.269901123,0.141396342,1.818827077,0.981392306
71,99.44662132,0.017592025,3,38.15138767,0.022467101,0.442703005,0.982241842,1.278657399,0.662919002,0.084177304,1.920487452,1.219921877,1.748450878,1.308915197,0.112615823,1.369308412,0.343565084
72,70.85132252,0.497079441,1,95.2337105,0.036534519,0.073991823,1.176489711,1.436761836,1.714343779,1.974830603,1.153056322,0.909947959,0.877259716,0.104865828,1.602781525,0.356579182,0.994299237
73,65.80615871,0.021810363,5,53.17224831,0.018322642,0.780807176,0.062765978,1.246690363,0.493352383,0.066521352,1.106153453,0.183660174,0.166921439,1.021037054,0.558889706,0.028580874,0.497542861
74,38.72904173,0.203169759,6,15.25639471,0.075338693,1.433519613,0.393706855,1.641915518,0.073106887,1.97928825,0.356305998,1.224578615,0.465376378,1.594906129,1.286736244,1.615486877,0.98942375
75,58.49422842,0.015848541,1,21.76755871,0.01104349,0.412260953,1.715909356,1.047994845,1.460513436,1.065533951,1.16568056,0.096053891,0.049001363,1.049575167,0.019761514,0.991788633,0.081734808
76,58.44830865,0.022682657,6,80.58558308,0.016568572,1.455881377,0.386576529,0.430813555,1.524676095,1.875986447,0.471519601,1.853572034,0.58579748,1.096839475,0.367866017,1.56814101,1.235220975
77,56.79233396,0.012890816,2,6.217995356,0.031145344,0.524675282,1.512759903,0.612130722,0.091853195,0.563867245,1.923304894,0.599875676,1.04484017,1.876500387,1.593950314,1.525192353,1.330526737
78,67.11621793,0.024861705,2,92.24705908,0.060701134,1.762651791,1.767871191,1.191402484,1.969220877,0.319688689,1.726210339,1.717680081,0.751085281,0.329069902,0.294366505,0.604704,0.916041217
79,6.3597054,0.177595512,2,49.58750334,0.037020124,0.102830705,0.393071209,0.312179973,1.999713067,1.089496805,1.306356641,1.441932799,0.209644938,1.157181251,0.666653396,0.76710178,0.574689797
80,6.783843747,0.017108487,4,22.82458074,0.013850026,0.16518601,1.324927446,1.508516638,1.153500717,1.819799606,1.837803226,0.927005909,0.977021919,1.323267843,1.099624815,1.524483638,0.771739415
81,94.56638973,0.019973868,6,45.34393706,0.067743275,1.660410396,0.165596543,1.75445743,1.02110622,0.50112626,0.318745982,0.321293299,0.698003151,1.089595893,0.162252727,1.437689154,0.730288944
82,36.91664731,0.011272047,3,29.41519432,0.014515142,1.027165214,0.511071413,1.062111331,0.887731867,0.819226809,0.810683921,1.526640672,1.551519801,0.91228827,0.802668712,1.724747905,0.549107481
83,57.17844559,0.013994402,4,55.24968145,0.010383631,0.419721618,1.508187297,0.750204584,0.967523682,0.106251292,1.614292502,1.389346026,0.650007756,1.428463892,1.037715201,1.069070003,0.171080827
84,37.13994548,0.056255868,6,36.60417752,0.049029844,0.945956046,1.253770798,1.489769597,0.778808965,1.155361139,0.651057834,1.415060547,0.050560827,1.128516443,1.456086501,1.779439095,0.636775301
85,21.87943042,0.01080817,4,95.17650212,0.09640358,1.036202838,0.706469291,1.117232089,0.637104922,1.791339195,0.452358685,0.38790837,0.61846264,1.790490135,0.944362354,0.986045241,1.630915316
86,20.0806693,0.01081396,4,15.25639471,0.010041083,0.267625862,1.531266873,1.203373252,1.780280581,1.123201462,0.371460602,0.615535244,1.53611897,1.204791886,1.438866081,1.184821568,1.460959083
87,80.43187515,0.012398637,4,34.49326327,0.045913984,0.901135994,0.585709979,0.943703335,1.752493282,0.97301761,1.524903879,1.535851243,0.992287383,1.472263183,0.676480758,1.083732714,1.756277739
88,82.26028986,0.010545709,3,25.93582686,0.048338053,1.815020678,0.715112031,0.52544801,0.643430005,1.406738359,0.599099726,1.033275323,1.634167053,1.554621337,1.461186712,0.41153886,0.678195599
89,40.35017432,0.013873982,3,78.07409567,0.014967201,0.309641787,0.063785087,1.646306298,1.441697806,0.565705213,1.589186955,0.139368367,0.296823589,0.376204052,0.382304906,1.634656307,0.671962763
90,35.65974336,0.024597372,1,42.15664364,0.064501201,0.763558473,1.004017011,1.007416313,0.581076075,0.747587243,1.788356167,1.927084317,0.574090223,1.655914482,1.685893135,0.299757903,1.07026366
91,28.79260565,0.018522899,2,86.61461651,0.014156222,1.26784727,1.771540991,1.122203991,1.996898944,1.21763013,1.349701457,1.097639834,1.513851559,0.400759286,0.549800936,0.568534712,0.33009644
92,89.62373923,0.01538543,3,41.96248426,0.028732485,1.550218542,1.584485245,0.382735692,1.872021796,1.393483707,0.131466089,1.006220999,0.067370483,0.069106751,1.009719808,1.305551832,0.740135296
93,32.45437226,0.011061686,1,44.52561778,0.013117193,0.14935838,0.899314661,0.880713404,1.251881568,0.640533215,1.714152444,1.720974249,1.115546505,1.690994168,1.017356636,0.473679526,0.630322981
94,13.72841309,0.046964127,2,29.82506904,0.016501204,1.491922716,0.722868902,0.649283172,1.869746972,0.991503739,1.555349174,0.978684165,0.975911355,0.417817963,0.176531314,1.499874797,1.100111832
95,60.58781359,0.018863163,6,66.70378401,0.019110757,0.704411032,0.94288337,1.318827095,0.70428269,0.916031536,1.966335578,1.739811069,0.407695445,0.327499515,1.475161722,0.590321615,1.064628379
96,67.88407549,0.023274687,4,43.56225007,0.017192175,0.693805647,1.602276775,1.649785999,1.601695932,0.539912577,1.174178654,1.210284093,1.589619121,0.735576246,1.798741742,0.865799214,1.749665006
97,76.04946841,0.022688324,2,20.35268897,0.037650986,1.05082268,1.384317278,1.371028462,0.561054692,1.171966614,1.713375101,1.844714443,0.09733218,0.832249906,1.77540095,1.782028551,0.875092426
98,53.64253623,0.015375053,5,46.75072856,0.017035358,0.94722602,1.793680661,1.660718997,0.056357567,0.964844581,1.925990414,1.96273746,1.73905357,1.363315151,0.148782614,0.941786119,0.149373655
99,66.03064408,0.011648982,6,25.32012333,0.01539716,0.627042912,1.828457413,1.693066707,1.343883956,0.202782985,0.844252506,0.684114655,0.142530649,0.451654565,1.066144358,0.069942546,1.008244794
100,46.49097523,0.01573663,6,10.07010507,0.012940199,0.976510072,1.28164849,1.809859937,1.054434141,1.960459916,1.206686673,1.28331363,1.708871363,1.835809407,0.763459398,0.681371823,1.518052911
101,96.29457452,0.036250479,1,37.82875442,0.010317928,0.659893893,0.53639735,1.47243929,0.496596281,1.421665819,0.18052368,1.388636743,0.405565914,1.659346238,1.696260308,0.388853864,0.178773427
102,23.7143285,0.021839729,2,80.30054936,0.017020493,0.512562947,1.600175074,0.212592237,0.87671585,1.178338954,1.154694478,0.322849383,0.662879096,0.350869285,0.155987824,1.543635752,1.094895779
103,10.95713841,0.011737808,2,3.83707534,0.022283113,1.562715794,0.307271961,0.106995669,1.601021305,0.118235789,0.743431922,0.555919908,0.088887557,1.153959564,1.732328085,1.756131106,0.305755733
104,89.62661106,0.010914806,5,8.484070377,0.029786319,0.863029416,0.746115245,0.099060365,0.030263106,0.591911888,1.257352523,1.397890858,0.307135118,1.850273814,1.807844776,1.902125386,1.366089149
105,1.427483597,0.04332152,1,98.24946665,0.010372881,1.223419315,0.232249546,1.01574339,1.688384745,1.934593143,0.919668049,1.324308484,1.171472058,1.716497681,1.474563555,0.576661286,0.818513478
106,34.92928525,0.013612593,1,47.06771351,0.277367254,1.187522987,1.573880121,0.537260633,0.391947158,0.479769306,0.559380321,1.618071663,1.033597731,0.957504219,0.939937228,1.150664158,1.065216117
107,92.6212193,0.012345093,4,47.11906678,0.012916316,0.786190702,0.410303176,0.110163612,1.444240929,1.54117358,0.536016068,1.848062421,0.460178588,0.294303129,1.046456395,1.076454637,1.408539767
108,38.85418902,0.028182012,1,10.14866949,0.010307827,1.831099299,0.808541618,0.951716473,1.930966143,1.641796168,0.160333161,0.972459239,1.035010327,1.606931958,0.166133004,0.170012066,1.642176142
109,3.208102568,0.042998376,4,42.10249177,0.019507632,0.273808255,0.336696681,1.136438111,1.473193949,0.136501678,0.754630545,0.882528586,0.984470128,0.361131965,1.251295461,0.898231415,1.362103172
110,8.830446602,0.053890861,1,4.356217986,0.033142336,1.5218203,1.424619957,0.41702469,1.010923742,0.585116022,0.879449025,0.37205368,1.686451505,0.703663635,0.568634902,0.917877527,1.71852896
111,87.98958394,0.016890311,6,96.19962362,0.119191991,0.053531314,0.782486949,1.408338494,2.014094108,0.160591562,0.656759456,1.737596714,0.303918255,1.073751269,0.591996697,1.478140148,1.365606217
112,88.5365978,0.01126901,2,67.36005705,0.018123385,0.897101681,1.082041784,0.504471437,0.269818964,0.291469154,0.092182636,1.713599385,0.861975872,0.523242794,0.191855566,1.795319026,0.418144495
113,17.82018404,0.026886181,6,23.74150331,0.012087027,1.281790868,0.666286419,0.967606855,0.671107858,0.148398879,0.172209282,1.186269271,1.617174382,0.107598694,0.913464158,1.370361146,1.209957127
114,35.7699584,0.030228235,6,62.51319448,0.014085981,0.039730759,1.797357209,1.765850839,1.963411905,0.583451331,1.674292473,1.840255347,0.432883995,0.644230896,1.31053925,0.682101988,0.918550289
115,13.40624316,0.044429412,2,84.59810489,0.012087811,1.556709186,0.713100025,1.218299569,1.808756284,0.85862018,0.193144117,1.305073511,1.092980161,0.469036944,0.402194073,0.309753466,1.117818904
116,70.1518957,0.010541439,5,19.34112128,0.041343395,0.306342224,0.698112287,1.348650525,1.560119433,1.440485074,0.701851917,0.58261548,1.710000958,1.443827839,0.995043576,0.783669119,1.611583606
117,28.64088783,0.012051157,3,71.08186226,0.01275503,1.802295062,0.415429705,0.653140748,0.18766768,1.57233147,0.031601976,1.159678365,1.438980531,1.072296629,1.296083044,0.212198439,1.729090607
118,80.34328962,0.011285093,6,31.32628218,0.142968927,0.679611419,0.350828941,1.587233437,1.432406743,0.051216243,0.492386325,0.157429343,1.177080927,1.618746083,1.894010183,1.420022052,0.333215886
119,44.17993146,0.034786329,1,14.46309579,0.021784389,1.648471807,0.613760698,1.089541481,1.019917421,1.98469845,1.703983965,1.807092621,0.465536188,1.216755253,1.480190558,0.895094269,0.446230967
120,65.66425456,0.011028465,6,43.66130229,0.011609539,1.093395805,0.629319669,0.270210449,1.134934161,1.786569172,0.392950073,0.488532655,1.061312094,1.907963085,1.517680686,0.324353917,0.443212054
121,79.20471422,0.174153609,2,44.13145639,0.022220969,0.479182042,1.327663873,0.888334169,0.412779735,0.593804705,0.265727592,1.090603071,0.534157945,0.770843303,1.067794415,0.068163489,1.880282704
122,64.54761163,0.02219572,6,55.42852782,0.029403668,0.51264316,1.765133523,0.83339472,1.758671305,0.173109345,1.190179061,1.17989748,1.294359116,0.111977083,1.561344153,0.804324534,0.965423986
123,10.52045801,0.012486511,1,93.77251374,0.06939352,0.267731028,1.103286808,0.762964243,0.575422022,0.055247282,1.735838447,1.125095897,1.248110345,1.165891208,1.109760484,1.626994772,0.067831462
124,83.2175168,0.044370189,2,12.61766108,0.016356702,1.786128327,0.542855221,0.149061157,1.844442208,1.453533375,1.31117036,1.071613677,0.436384834,1.137869736,0.945303443,1.160794919,1.12191324
125,75.12355965,0.365700586,5,70.61254653,0.014485882,1.210054817,0.152683615,0.538268385,1.642424584,0.086953319,1.658878526,1.132282164,1.051581334,0.786249195,1.222940747,0.34070981,0.884396187
126,11.92278828,0.020803974,3,48.44631934,0.010627858,0.035207279,0.83507515,1.234530891,1.40898728,1.918824672,0.973521372,1.12882707,1.637744491,0.214588488,0.900486005,1.410880973,1.382957963
127,83.75610899,0.018373642,4,20.82887673,0.066308088,0.761283019,1.077846764,0.145531512,1.265213214,0.161204232,1.32788059,1.847258176,1.820901116,0.456249246,0.605263262,0.585957785,0.363100794
128,19.20375854,0.259185389,5,33.13742565,0.025569532,0.412352815,0.036104391,0.880296265,0.777862713,1.056929041,0.903915554,0.797408941,0.140020132,0.599608518,1.222296781,1.445106054,1.658550547
129,56.63337142,0.03312928,4,94.24041783,0.030317699,1.157182489,0.170466902,0.956156803,1.303479294,0.460822699,0.620178814,1.184002538,0.339784636,1.314633485,0.24696411,0.674933671,0.978409226
130,47.88783345,0.016327315,3,35.77009935,0.011814854,1.231470288,0.289597652,0.151187474,1.655585573,0.859138204,0.42294609,0.348283899,1.925504215,1.155187277,0.338286037,1.6508147,1.793328073
131,73.60847267,0.024080509,4,71.66099117,0.014666407,1.420121221,1.298967784,1.127966262,0.411207473,1.020643355,0.946498887,0.395610455,0.103619724,0.665194415,0.527692449,0.898451553,0.677612197
132,50.94750103,0.019222455,3,14.59817828,0.12454323,1.193773771,0.551315706,0.856915305,1.397846443,0.992976568,1.477693308,0.621336227,0.25062533,0.45396356,1.263779545,1.262361224,1.357916728
133,37.87473722,0.03134367,1,69.87564852,0.096100371,0.199600987,0.140757726,1.089626682,0.736892385,0.511340354,0.674944948,0.413829282,1.20100238,0.1955162,0.644217664,0.488080803,1.372186584
134,77.68240844,0.021646885,3,76.81206247,0.017807862,0.759954521,0.580946236,1.412391994,1.738416558,1.455917704,0.705071284,0.495305067,1.947880641,1.474272996,1.168288195,0.690317269,0.33249512
135,62.7449894,0.040289171,2,66.95083346,0.022696636,0.34812409,1.624859326,1.755522261,0.870734167,1.337775652,0.172383931,1.053918348,1.163819917,0.935683108,1.299336201,1.152117019,0.787118819
136,69.71519265,0.111310591,1,44.85503162,0.010598178,0.409494034,1.411728347,0.262778791,0.173739107,1.985858269,0.160819559,0.846755395,1.566361507,1.742670883,0.441799703,1.413065206,1.64887584
137,62.76391295,0.024982521,5,74.62281443,0.023952291,1.537090669,1.732501389,0.727694762,0.250786089,1.759051269,0.458867202,1.482551798,0.522593164,0.201572765,1.547427603,1.397526481,1.828360611
