para_indx,g,k,n,lambda_pos,lambda_neg,thrs_A2toA1,thrs_B1toA1,thrs_B2toA1,thrs_A1toA2,thrs_B2toA2,thrs_A1toB1,thrs_B2toB1,thrs_A1toB2,thrs_A2toB2,thrs_B1toB2
14,55.24185068,0.03657771,1,18.6962567,0.065642579,42.28298487,11.31469158,0.8259548,0.381385292,1.183253208,0.449368918,0.843190146,0.79478763,40.01433343,56.83939828
15,94.26097602,0.026665966,3,24.14446192,0.011047161,71.2590783,84.65015884,0.253113104,0.833122665,1.062881294,0.429884884,0.113682715,0.201642716,4.705340758,57.17717036
16,77.88718035,0.175109972,1,7.836339288,0.013836537,54.59164482,79.52911438,0.248191924,1.081473937,1.688962515,1.38874019,1.050673215,1.035255703,77.13363641,44.34041791
17,84.56296024,0.012612507,5,31.49823897,0.048709016,28.61387599,29.20398593,1.565187474,0.970054244,1.030760675,1.584215599,0.539790115,1.519497208,70.85166174,74.67123039
18,50.79025288,0.014403924,4,35.00948745,0.105669341,68.13001148,48.96249456,0.402597787,1.562852281,0.31414078,1.583371836,0.052217565,1.243051968,29.68393207,76.3534126
19,38.385683,0.052627321,5,45.14218122,0.048803404,32.16417012,62.83727164,0.59020973,1.121704168,1.835237582,0.199002165,0.472445188,1.225616427,32.97768598,30.2728148
20,89.12338093,0.011286429,3,68.88261723,0.014546992,47.64353565,63.99628176,1.598208724,1.785575817,1.22645807,0.559872554,0.570997891,0.590645817,5.340647887,24.41762834
21,57.16383193,0.20564562,6,11.92107715,0.028525932,41.39832592,23.53337197,1.502970649,0.077845655,0.415297363,1.451864961,1.161380383,1.404799049,69.20819103,34.50033802
22,2.050073001,0.021917576,2,38.30481626,0.172022402,41.20102754,50.50319476,0.419322068,1.438476333,0.737687955,1.670786223,0.37681109,1.574932897,23.72729191,55.13316913
23,40.33971832,0.024909853,1,12.85773323,0.03137713,18.39396769,86.72392826,0.795590003,1.614338133,1.570277219,0.801525308,0.241099536,0.939681486,82.43616609,50.42711038
24,2.241338972,0.046794384,2,73.58765434,0.016237362,67.14669392,60.29915799,0.048351373,1.606452486,0.474418706,0.549280762,0.092818522,0.53280698,49.09057667,54.56819515
25,53.36650417,0.047580868,2,11.93632285,0.107533918,88.61857438,25.15282299,0.966702006,1.259974226,0.214937654,0.287954173,1.25142521,0.196594468,9.908826507,34.81473488
26,82.25737468,0.01389912,2,39.70662396,0.016575218,17.03094453,24.67262693,0.96104892,0.696495165,0.812941533,0.637805614,1.683732065,1.049835104,49.6819413,54.70988062
27,67.63797065,0.01314003,4,72.76262412,0.633437319,76.09998014,51.14830686,1.722642579,1.467329271,0.217685348,1.7587499,0.894255398,0.871249639,49.29264503,22.87480371
28,41.42646049,0.012170362,4,87.08830257,0.80945201,19.40726287,1.623438655,0.355619672,1.423967611,0.761817021,1.36442064,0.863049984,0.068466652,30.60594735,41.00981396
29,79.91053308,0.018141443,5,8.037464774,0.118850958,54.27886059,38.17982538,1.310573819,1.840279044,0.613267134,1.665216887,1.533549053,1.801872011,24.92107604,50.95124
30,39.84845255,0.016265532,3,95.28817341,0.016340681,49.43644982,85.58965124,0.133091957,0.58603688,1.68313678,0.554466974,1.744141665,1.507399844,15.24593,22.18510964
31,56.06178255,0.039155863,2,14.33716627,0.530400658,50.8892693,58.05742025,0.838407824,1.157238065,0.940295196,1.566787404,0.302672301,0.950683809,47.71156302,84.33659718
32,52.41146808,0.015862144,3,14.93944779,0.070484454,44.99712468,33.0172299,0.137971035,1.43299666,0.671760175,0.911847916,0.908774305,0.931285522,67.50022518,11.62669715
33,41.19697821,0.013602131,4,44.66060806,0.027552809,72.0567237,82.28878372,1.539080917,0.611915187,1.52297417,0.955208475,0.316253425,1.167007931,14.4474036,38.18043079
34,52.63345621,0.025725572,1,52.89489281,0.017538295,9.402965922,20.39634046,1.208561006,0.676168816,1.773451611,0.828290594,0.159518707,0.274874588,48.07890501,2.446976168
35,75.7262337,0.014464271,2,28.24534094,0.02534457,74.54439612,64.1321131,0.963332067,1.576770844,0.067037062,0.477042808,1.103370916,1.699757686,84.01372421,76.81503316
36,27.61757016,0.014553053,5,75.30813431,0.012038755,27.49188068,65.60085861,0.945083051,0.162299465,0.607054182,1.387191052,1.753080333,0.504600126,90.89036082,45.60408298
37,76.98528007,0.026577886,5,7.129268994,0.034365405,3.011977524,29.61426756,0.564689082,0.981888617,0.072304838,1.27533623,0.18400733,0.24368074,21.52249051,38.77227212
38,84.0440319,0.210737946,5,99.18652176,0.027823778,8.17855481,36.04476934,0.518606366,0.986254513,1.142070768,1.08706654,1.029438843,1.540687056,10.93815388,65.48631539
39,91.16302113,0.037306892,1,31.32041245,0.069390488,40.94998239,41.96405814,0.727902546,1.584828657,0.369551352,1.680169933,1.112650984,1.771347035,10.66783806,37.08595278
40,52.2969047,0.013335545,1,14.22863471,0.032603215,59.1654627,54.23675309,1.705377989,1.82243904,1.745722854,0.836178297,0.622161376,1.818419861,70.15003531,7.378399167
41,16.67924412,0.076603444,4,1.118861675,0.021314895,22.42530507,12.44808735,1.448177254,0.619032381,1.008200138,1.844734692,1.694664344,1.316516476,21.79008754,52.40414609
42,85.0832201,0.139159337,4,10.17946067,0.010494482,63.85878702,79.06857319,0.176254985,1.398778745,0.091577601,1.524589283,1.038987976,0.237076778,66.24975568,15.51320157
43,4.499398249,0.010556272,3,24.30205609,0.038325856,36.7535392,2.963297479,1.700065236,0.045993484,1.020483347,1.077879456,0.804048534,1.728105505,39.19953003,18.95423939
44,42.00249697,0.039783077,6,16.76940371,0.013622173,44.89970578,33.52828107,0.8341251,0.565830726,0.298228019,0.847748052,0.129677144,1.134623229,33.6675493,28.02408694
45,50.69585167,0.012763791,4,55.9857796,0.03234754,31.75720193,14.78631071,0.341558537,1.117727288,1.019883066,1.388372279,1.751381975,0.247113418,60.06908854,42.31681588
46,1.020152016,0.014356932,4,88.14858741,0.010050675,11.87180705,33.11787087,0.243788981,0.352450827,0.440655335,1.7402039,1.690574785,0.922522235,32.43056261,45.29243009
47,25.54542049,0.010135405,1,11.00121793,0.011280321,35.47757696,42.18113782,0.467680767,0.611614043,1.064619129,0.930869376,1.118668454,0.769689373,75.67400163,56.84014632
48,83.64630656,0.731259825,4,47.44423295,0.020037401,82.33438029,68.41215748,1.784239256,1.246745034,0.809984177,0.623150384,0.404001024,0.212160628,34.62754947,19.53459498
49,71.99659933,0.011878513,3,56.57700426,0.017171567,58.48866383,59.99930718,0.79888557,1.44016126,1.616424698,1.342504018,1.379749041,0.767944511,5.282170958,16.9586195
50,40.53793454,0.014480745,2,49.78547625,0.016510064,9.057391262,27.27889432,1.044535197,0.962353994,0.351359399,1.235732039,1.116261285,0.452300877,1.371290514,56.16193891
51,15.98411248,0.01982856,4,63.08405353,0.010901415,67.40228749,84.11871017,1.594608118,1.406985008,1.38540407,1.02735855,1.64662187,1.290644059,15.56121185,86.63910911
52,38.67349258,0.010867449,2,2.411440579,0.016591468,89.41867147,17.4322428,1.246048186,0.359541805,1.43191844,0.256044786,0.41782542,0.94026097,88.99331515,1.331416446
53,59.01179647,0.040803155,2,94.9212812,0.031828155,73.22262048,11.34107007,0.603368234,1.357219424,0.834150149,1.363777642,0.905043967,0.867990631,43.25585797,1.767473894
54,80.47071709,0.040542488,4,90.27554035,0.022262089,42.05128769,84.17131748,0.155331625,1.07212918,0.751034855,0.623100939,1.342870659,0.939439951,72.20388089,79.97864621
55,65.73500658,0.013382229,5,83.14845744,0.010747378,78.17339169,71.79945995,1.743310467,0.270418999,0.941615843,0.693307707,0.087657143,1.216646893,62.82644252,48.87158186
56,7.461805447,0.013874488,4,78.88538353,0.010900817,90.90288262,62.85020839,0.342646448,0.953247447,1.210408934,1.220463407,0.644663085,1.646639963,38.81198032,40.38381356
57,36.42983488,0.034295683,4,23.26314995,0.095517108,30.24899669,60.30750733,0.678267232,0.354540694,1.11996218,0.781296841,0.220125717,0.430205992,88.36908119,16.23961047
58,95.98064091,0.038356503,6,88.14858741,0.011594076,58.96715719,37.59263029,0.48854033,1.831145259,1.658373007,1.579868057,1.51710503,1.732998463,2.317539626,28.19403374
59,88.86070621,0.011331988,1,58.29731851,0.245271967,4.943438236,47.99851353,1.055248191,0.238358307,0.706952604,1.300574692,0.764210103,0.833840295,70.15757548,75.82250198
60,32.33625562,0.039048843,1,83.65601904,0.038004031,46.58864805,37.93491929,0.565931738,0.062892501,0.278632802,1.770439511,0.203720881,0.233280024,44.5308695,8.597412338
61,49.24138557,0.017301643,5,82.43520778,0.024407513,39.54001393,68.67472539,0.681473312,1.376834665,1.644458674,0.457150922,0.75314639,0.326278275,45.60019197,76.90778146
62,64.31304942,0.027419965,6,9.178467524,0.08054072,44.66755623,66.95783987,1.652050392,1.431576314,1.661042624,0.112755518,0.479664478,1.622818987,80.95400705,5.680603004
63,60.88063929,0.020638482,1,17.63826805,0.029255937,60.13364366,72.55072482,0.247721639,0.691322811,1.789638379,0.33417787,0.779796268,1.572519531,34.60488801,45.31716637
64,84.48748098,0.01004855,1,82.95825477,0.016684774,28.13191809,5.084908785,0.81518191,0.375225806,1.319880826,0.513275898,1.569736787,0.847551439,30.44461282,51.89990146
65,52.70246699,0.044943517,5,96.13339391,0.013628354,16.86444754,60.33982643,0.995547397,1.483719776,0.608915121,1.386920304,0.063573454,0.467415595,62.63466186,9.658242872
66,81.78729703,0.023034596,6,47.77342565,0.010666463,84.30026179,80.39607029,0.967355683,1.184413606,0.59060653,1.791895557,0.19274019,0.29998933,48.56457198,49.17161048
67,27.70860558,0.049624855,1,19.03232411,0.01617316,85.33236106,3.858057813,1.813945691,0.381757835,1.3131844,0.458285797,0.648778221,0.825275499,63.73796171,37.32870095
68,8.427459245,0.018183975,1,23.12733889,0.392998889,70.19834252,51.33761771,1.792697816,0.336745672,1.036007414,0.675866445,0.305820499,0.659495517,57.47378294,14.78010892
69,79.03879185,0.166654593,2,79.0948587,0.015581539,7.201461398,18.27806723,1.388139039,1.562264439,0.403143596,0.655193724,1.149616633,0.053165369,68.10552792,49.71419713
70,94.3866465,0.03365167,4,25.64384954,0.014683208,23.52566765,44.85347604,1.839637314,1.788687927,1.633441096,0.913505625,0.314975543,0.362816197,43.12566059,83.34270055
71,49.24138557,0.015096305,1,25.39505357,0.011142927,75.32717711,87.74253893,0.381993929,1.176260293,0.988386296,1.003336641,1.414965009,1.677976633,19.65501537,7.305650427
72,92.41885895,0.010084845,4,18.96303695,0.015251142,83.81655325,60.69109054,1.033398498,1.823341222,0.712437287,1.654297483,1.286483205,1.654060599,52.00279584,21.5142509
73,23.29253359,0.040056618,6,24.58908649,0.050956609,70.19809089,62.25173757,0.128661286,0.049169356,0.46663494,1.248234385,0.60469732,1.384857561,55.28112038,22.24313405
74,20.21726723,0.01219641,6,69.72324548,0.586028846,20.17267646,33.97948114,0.561221664,1.753926331,1.742128063,0.683706321,0.650250224,0.609830513,25.67367796,10.9347308
75,56.06698327,0.012752851,4,17.40772677,0.2638656,8.470237161,77.95248272,0.632556743,0.068278092,1.442794723,1.660022929,0.786395895,0.048793829,34.2958853,5.753388846
76,58.41019873,0.02088475,4,50.18540538,0.011832753,51.38749577,38.20426585,0.387237206,0.900912021,0.342346349,0.466015065,0.683362204,1.100793748,91.29694349,25.25482632
77,92.59300302,0.014480842,5,99.65585867,0.015016022,87.49518979,60.74941174,1.339196951,0.694591815,0.154539339,0.52800127,0.398820746,0.540315353,11.71276375,45.5765033
78,6.684477947,0.016454458,6,3.642362696,0.025475899,50.56589264,17.8204832,0.669847523,0.114391192,1.579810995,0.496827481,1.531628974,0.119412556,69.62270689,82.78050009
79,3.674602191,0.049563533,6,34.18016672,0.047603918,70.0356756,7.301544224,0.165255248,0.876522815,0.727610213,0.557012285,0.857944772,0.883631554,50.23450129,3.237517245
80,34.64555097,0.022415392,6,53.36797311,0.016717776,50.95873911,10.78792541,0.496285132,0.811395295,0.769338609,0.538643456,1.85250887,1.132409214,63.49971732,27.16360427
81,96.63516564,0.337570236,5,86.78738818,0.411640376,58.06270189,46.11112171,1.228423207,1.725699553,1.576038909,0.364678039,1.853402922,0.529245372,71.13772831,4.619505548
82,42.44638458,0.014131567,3,88.14205527,0.151096127,34.88641859,25.36045477,0.140515622,1.438807504,1.836718598,1.678849698,1.374498909,1.657119375,29.78646019,51.47709492
83,60.40602751,0.030385115,4,74.10796678,0.034131655,68.42193213,33.9251282,0.396884769,0.998155915,1.549108426,0.60786549,1.622482414,0.379849591,24.42211974,13.90664737
84,89.27558511,0.010867449,5,46.41828694,0.017031376,5.907615457,65.25575455,1.285247933,0.720890522,0.785427381,0.71395702,0.201930313,1.724243641,24.06700385,24.66903015
85,34.02759615,0.04676183,4,49.35356893,0.013433357,38.04778613,20.14510273,0.668871136,1.281929088,0.401288547,0.337479818,1.134752128,1.582079467,30.6162434,89.73507914
86,44.35634884,0.011497046,2,69.45334935,0.01183645,28.44253995,4.88025265,1.557569071,0.96585048,0.698354917,1.839906009,1.620351884,1.291770647,49.18056743,75.59131093
87,20.95756648,0.068813566,4,86.79947362,0.103919806,18.63396144,20.84781353,0.476270805,0.214210304,1.002514936,0.949035717,0.677107521,1.713935379,11.60987551,39.86146752
88,59.91426166,0.011474385,6,39.99034905,0.038966057,88.94043818,49.02782021,1.734216909,0.871207609,0.601076756,0.539452655,1.125585952,0.750419621,88.58850614,39.09885974
89,84.75381481,0.022625448,1,69.50055871,0.035929831,42.69371992,35.63465177,1.657918076,1.336368248,0.805218732,0.618534577,0.949633399,1.332500106,60.42352287,43.7413066
90,8.639443538,0.017352951,1,93.89313995,0.060402575,60.2639023,90.24556557,1.756640238,1.800443531,0.411569206,0.162870098,0.53683372,1.717871202,58.75305191,42.76752247
91,18.02961737,0.192742088,2,50.96344381,0.013897936,5.926004196,56.19900581,1.662746063,0.024634116,1.715209396,0.840279946,1.593043164,1.515982057,4.498648686,20.75913581
92,74.21730724,0.029346757,1,23.47193768,0.191468082,6.386390551,18.84857798,1.483081097,0.025630974,0.086410313,0.814070838,1.27441121,1.044777888,12.37177778,57.83096665
93,4.604230089,0.047561059,5,22.75123039,0.039668564,3.981407815,45.69035202,1.53216663,0.526797282,0.254383628,0.791350466,0.649680102,1.22668635,17.68682272,32.90461067
94,37.46162565,0.026196124,2,56.53140375,0.028148515,30.15231341,67.63019168,1.260771573,1.186539923,0.068033787,0.489998646,0.75679539,1.482189805,15.42789022,12.51213935
95,2.583290021,0.02547224,5,6.014239978,0.021039707,59.27874454,65.28041953,1.518202505,0.144395159,1.359660206,0.949714049,1.142143392,0.04868375,20.74784072,67.73739784
96,23.1607211,0.026942003,5,80.75139122,0.015602867,60.02954561,36.31989443,0.127287895,0.585002627,1.175584063,0.048019092,1.239602066,0.642277606,49.82865232,23.15300938
97,79.1330595,0.010936404,6,75.69428604,0.178767513,37.94846069,50.60634552,0.172534371,0.551311508,0.121347381,0.603114211,0.187688933,1.40362285,55.07856908,61.57441378
98,63.17284069,0.023631937,6,17.30397352,0.050461643,49.42476728,57.35665517,0.364711956,0.848279176,1.70262985,0.273895802,1.118014855,1.038328926,47.61342914,3.18947657
99,8.340381212,0.019451649,1,71.93210894,0.010259867,20.75967412,4.051107243,1.678371256,0.617038265,1.721597631,1.531200532,0.635139307,0.298784338,77.21219036,25.44747363
100,53.91866154,0.017794866,3,63.39247409,0.014184416,91.07581322,61.54802768,0.93803693,0.275798972,1.368382804,0.891683994,1.30669606,0.486007182,64.64307161,68.70974293
101,3.535444694,0.031835975,3,12.75003524,0.013850826,57.82578146,37.36099332,1.525383869,0.380948741,1.549881321,0.093928838,0.028854917,1.210640853,41.9879999,70.67594847
102,23.20247526,0.015201116,3,42.42037391,0.223515334,83.55647101,23.65270264,1.80039952,1.279773389,1.288970821,1.84244797,0.942279498,0.380453302,65.57599909,58.38711988
103,51.90458771,0.014799069,5,22.11389372,0.040956516,20.21382585,16.32182777,0.307021957,0.483061445,0.561292528,1.213015038,0.387735726,0.830540308,70.31860646,72.57823895
104,59.59136885,0.012016775,4,35.08045163,0.058944583,34.51962744,53.12968351,0.738708401,0.912393819,0.197109817,0.742556002,0.703230211,0.409805928,77.92066176,63.91434565
105,92.47916984,0.018091616,2,56.83958056,0.010921043,65.42065786,4.652658462,0.729137543,0.936509354,0.028277518,0.677686241,0.123895619,1.724816845,44.27516788,86.84851734
106,74.59684178,0.263877473,4,83.46859622,0.026646796,5.926806578,62.48390408,1.3689988,0.506909501,1.580813311,0.808564689,0.326777318,0.757603592,56.77160174,55.85770898
107,97.1873903,0.085578662,3,85.67089005,0.203843441,34.35167143,43.89611327,0.35205266,1.777157762,0.814292519,0.851366626,0.608365175,1.297039244,75.91774326,90.83748134
108,78.89373123,0.071008625,2,84.72125977,0.04781361,17.94022669,8.565005949,0.166535196,0.254128624,0.867846428,0.651405092,0.857143935,1.397816964,43.5055169,65.13491849
109,62.64554517,0.027317665,2,66.59553417,0.014159805,42.13904689,45.87652944,0.733924189,1.827155418,1.111046983,1.240757738,1.375065761,1.225945202,69.90465786,90.0398077
110,72.3405783,0.011185622,3,99.12110822,0.061974078,41.97181026,32.25052434,0.717629214,0.385813551,0.434512304,0.899113,0.796988359,1.273651336,25.63985583,19.54218934
111,95.52682169,0.020847422,2,59.72863942,0.010571889,84.97852075,66.15545079,0.498920505,0.846369646,1.108164208,0.974451094,1.115799631,1.289788931,78.47378949,67.70175467
112,98.09752902,0.010223829,1,58.20693875,0.022271355,12.64515124,22.6139377,1.434060767,0.49505144,0.898950109,0.295649745,1.137978477,0.665678184,41.63705223,10.36211486
113,16.73119079,0.014301494,3,29.27614995,0.010071539,52.38355646,31.85260592,1.008092995,1.02689407,0.225483813,0.550944244,0.788788991,1.272663419,39.90606817,75.29036769
114,99.35827443,0.079803836,2,76.97190531,0.022675381,24.56903728,84.40204881,0.583668024,0.549468596,1.01857096,1.220220557,1.761947718,0.346195096,77.95917007,61.82781113
115,6.395668538,0.012466491,3,17.31820773,0.065529274,33.48610336,32.79465407,0.895129877,0.861211357,1.650151292,1.1996935,0.883975274,0.337256892,21.90786189,53.54839322
116,42.84751081,0.023058697,6,98.8162413,0.024754548,2.678863555,68.56316113,0.559897693,1.113044748,1.790997501,0.415953669,1.367920037,0.990029083,20.79108813,73.77733651
117,24.72020435,0.023648615,4,38.79306346,0.012813791,18.46363306,17.25180184,0.44898813,1.468581006,0.840214883,1.064045555,0.691555599,0.56258578,71.83732236,27.60667374
118,43.4654974,0.015703448,4,34.45244796,0.0124127,70.78560887,14.2707207,0.884649251,1.348513988,1.392069487,1.451304334,0.650254179,0.485053544,43.3364644,3.059825737
119,92.34642279,0.013874947,5,35.12596832,0.083885037,39.78597909,36.56819493,1.826563214,1.782201661,0.147477226,0.037752971,0.283399331,0.77789247,25.26202258,32.36614394
120,94.07603716,0.021132735,3,79.64827248,0.014151809,11.25827224,42.43177827,0.109687039,1.3560877,1.33470111,1.261293042,0.738472695,1.294972949,85.03159347,70.4724712
121,83.87859819,0.031235241,6,65.29988898,0.014153869,58.13344636,5.69174298,1.680079978,1.756186921,1.01414464,1.553752738,1.270525224,0.558653045,52.55309332,44.58895297
122,51.62021466,0.046714715,2,4.81011231,0.012665326,89.42281598,2.810292032,0.746582653,0.560762623,0.883066491,0.833187194,1.64492451,1.446950844,11.08880046,6.820914394
123,64.59333989,0.012034643,4,5.571644423,0.010190889,30.23870822,77.65676274,1.008264572,1.611132941,1.008024172,0.965798128,1.434190611,0.078409088,86.74689667,66.81098867
124,26.86307312,0.015962941,4,87.03130142,0.019178523,29.74030986,24.68863088,0.483017173,0.052783641,1.577792166,0.948428827,0.96846451,1.384248921,10.58403563,49.38170432
125,26.07698705,0.011642736,2,91.07326938,0.015687083,78.04095635,43.54231285,1.674293496,1.614370779,0.943923188,0.216172635,1.211742683,1.497690472,68.48131851,15.41920801
126,48.58010109,0.034615982,4,21.19915142,0.072719654,21.02285801,3.831694626,0.312423024,1.540193788,0.239160699,0.208036754,0.131780728,1.862562286,52.37291871,57.20160033
127,95.71117362,0.010757388,2,96.27417401,0.016803642,88.03535238,18.83920212,1.154653395,0.295589856,1.60633814,1.161193867,0.175176279,0.975633329,9.485020572,39.23447505
128,84.09398123,0.185054928,6,2.733308815,0.01138706,67.3639276,70.11557709,0.455959123,0.843373524,1.120685797,1.053136486,1.466178905,1.269969098,14.19564362,87.71030268
129,95.25069997,0.078100644,2,57.10319363,0.028701802,25.23290304,75.16356786,0.427185455,1.222961111,0.994029659,0.668979651,1.772124411,1.451336222,20.36243158,62.68141058
130,71.59886776,0.045859545,1,71.02167213,0.013118472,53.03570683,17.94485742,1.408319083,1.601671455,0.624758119,1.274648356,1.64905217,0.15285205,2.854725963,49.99630185
131,35.95222978,0.010565263,3,38.87848733,0.010740293,74.90556681,41.15972418,1.818329631,1.170926928,1.217970764,0.655820703,1.137249617,1.527704846,75.41971143,44.20704063
132,72.15609462,0.011129405,2,66.78605048,0.058797242,34.33250974,11.21192122,0.364701918,0.830328916,1.124746765,1.333858547,1.238582245,1.274218072,38.69726333,47.94292709
133,2.505072764,0.08955088,3,94.17233273,0.023647626,6.429715046,17.66896047,1.057557528,1.269881991,0.792291552,0.328478697,0.308359053,1.716571499,78.30503201,7.935366664
134,5.188999661,0.011054342,6,78.82449724,0.056048472,1.539344145,41.64748015,0.911308347,1.183962241,1.610533275,0.858459644,0.061553817,0.135423362,38.12386474,62.14459626
135,69.91769134,0.011379861,5,2.133042671,0.024366432,34.7121277,86.16590255,1.802072443,0.85716279,0.566037895,0.136939029,0.382214089,1.689486146,78.1260919,6.056019302
136,53.15661048,0.015707376,3,94.26475449,0.104841249,8.132071419,4.652628668,0.701509393,0.472337292,1.774635235,0.981552216,0.567326708,1.539774165,53.09517123,20.06884874
137,41.54203414,0.016619563,4,66.99282953,0.023008509,14.94469774,82.76127547,0.45195244,0.542534242,1.218202706,0.465463113,1.271735801,1.513277118,65.44737153,40.24337053
138,15.0300095,0.014962079,3,24.08850627,0.012051553,9.811901948,36.55206072,0.281322769,1.491010978,1.761532821,0.917280021,0.198674058,0.482350316,26.41000774,22.39290669
139,68.87689267,0.088878095,2,98.68855127,0.056877698,87.38297731,26.60566579,1.40009528,0.650876196,0.599094648,0.458849104,1.437789223,0.898710372,24.2805351,45.84267373
140,70.51951452,0.010681764,3,99.08116824,0.013112658,89.49290395,66.20106255,0.084847474,1.057286053,0.296879338,0.061134059,0.610085012,1.626811828,7.778239131,54.43079671
141,60.4007143,0.010363744,3,17.54717818,0.010019017,30.12775293,15.37884198,0.53340126,1.254475083,1.1174673,0.366873655,0.577760458,1.205960827,34.81686488,51.64313489
142,58.54900988,0.01846274,5,49.22182421,0.013411175,31.23929244,23.29504374,0.841216418,1.364470874,0.501685354,0.573652394,1.431547528,1.761604708,6.298535334,52.50769542
143,58.59565676,0.020638482,4,28.3717478,0.08267415,7.029111208,17.43515303,1.082483845,0.393313061,1.775198555,0.167182578,0.387956787,0.204036092,78.97580091,78.62798434
144,66.90494803,0.017957241,6,37.42113116,0.020459518,9.395236518,51.90121124,1.67839745,1.210972487,0.516485245,0.113894764,1.145358006,0.223987072,69.89426481,72.33147341
145,18.15154904,0.012699051,3,12.39934251,0.21498812,29.03006163,46.88858491,0.89598285,0.557945264,0.431326334,0.021227755,0.193194343,0.300323647,65.66121685,24.98874923
146,14.68640259,0.014650501,6,62.55379415,0.047793549,28.0148109,2.602992196,0.657800547,1.076580919,0.247318398,1.313379828,1.602991052,0.59911267,50.79909435,90.57266765
147,72.72015449,0.018749315,6,62.51943167,0.0220054,80.75906898,42.87897013,0.089628775,0.363125275,1.29093281,1.813257348,1.662844696,0.394529337,42.06249496,73.00338993
148,80.35125235,0.037370187,1,84.03585708,0.035343348,89.46396567,30.19493807,0.909722651,0.506861554,0.384781228,1.599690757,1.447392805,0.712828783,90.47390197,38.85921113
149,12.11939204,0.013807666,6,18.9720975,0.018597004,51.87471719,71.43062962,0.31080265,1.4696549,0.59384615,1.021715162,1.287111411,0.882390847,34.53230411,29.89475746
150,99.60821233,0.038068422,6,38.18889416,0.161293762,1.566763459,90.31471708,1.58136869,1.393866701,1.074577496,0.528181326,0.529656282,1.151732795,23.12455842,83.31004437
151,79.45909742,0.012775043,5,65.43315905,0.010028951,79.78921614,30.56156812,1.405376891,1.061268985,0.668350857,1.798637612,0.207675962,1.240673461,48.4407461,85.72024732
152,22.16717373,0.021281894,4,31.66857985,0.046375896,45.16580064,26.23509532,0.678321187,1.485737789,0.564933722,0.444024304,0.060907792,0.613635819,88.2226666,52.80648038
153,47.76275896,0.026424301,1,63.18539732,0.022268003,70.72713256,30.89117147,1.416247362,0.976123384,1.421620283,0.220119411,0.79720771,0.251224747,53.27594816,54.58679405
154,1.545016329,0.01890944,2,26.13829663,0.086433718,69.50222768,68.06785915,1.364708475,0.29682202,1.17725765,1.580245167,1.680998009,0.238574091,16.04767872,46.95755141
155,35.42066222,0.017407357,4,38.1666033,0.021373632,9.313659589,51.46743417,0.56321158,0.520461245,0.542635441,1.356567318,0.831927314,0.373317189,4.168614098,66.99252598
156,20.6404517,0.136955961,4,69.16970375,0.01061883,8.305346341,59.61400392,1.83454223,0.962920137,0.898375582,1.7005576,0.573681105,0.338832886,87.52231991,26.19109805
