para_indx,stability,freq,A1,A2,B1,B2
113,2,567,0,0,1170,1170
113,2,433,1170,1170,0,0
114,2,4,0,0,1245,1241
114,2,996,1244,1245,0,0
115,2,5,0,2,512,487
115,2,995,511,513,2,0
117,2,607,0,0,1045,1045
117,2,393,1045,1045,0,0
118,2,946,0,1,2768,2768
118,2,54,2768,2768,1,0
121,2,975,0,1,2685,2685
121,2,25,2685,2685,1,0
122,2,881,0,3,1103,1032
122,2,119,532,1100,3,0
124,2,137,0,32,1648,51
124,2,863,1683,1683,0,0
125,2,995,0,0,2238,2240
125,2,5,2237,2240,0,0
127,2,190,2,166,2184,34
127,2,810,57,2856,152,2
130,2,5,0,0,1544,1210
130,2,995,1471,1543,0,0
131,2,974,0,1,3403,3403
131,2,26,3403,3403,1,0
133,2,486,0,0,28,27
133,2,514,28,28,0,0
137,2,991,47,58,58,30
137,2,9,2500,2500,1,0
138,2,47,0,1,1005,1005
138,2,953,1005,1005,1,0
139,2,933,0,1,773,771
139,2,67,765,774,0,0
141,2,840,0,3,5823,5823
141,2,160,5768,5828,3,0
142,2,306,0,1,3171,3171
142,2,694,3171,3171,1,0
146,2,326,2,47,90,15
146,2,674,1002,1002,1,0
147,2,835,2,440,1221,2
147,2,165,3873,3879,1,0
149,2,941,0,1,878,878
149,2,59,878,878,1,0
151,2,907,0,1,6220,6220
151,2,93,6220,6220,1,0
152,2,11,0,2,1041,1041
152,2,989,3,46,49,20
154,2,168,0,1,81,49
154,2,832,49,82,0,0
156,2,273,0,0,151,151
156,2,727,151,151,0,0
159,2,780,0,0,662,662
159,2,220,662,662,0,0
160,2,694,1,2547,1150,1
160,2,306,3000,3001,1,0
162,2,1,0,1,3117,3117
162,2,999,3117,3117,1,0
165,2,772,0,0,238,238
165,2,228,238,238,0,0
171,2,336,0,38,1929,1339
171,2,664,1949,1949,1,0
173,2,13,0,1,788,788
173,2,987,13,39,39,38
177,2,473,0,0,194,189
177,2,527,160,194,0,0
179,2,912,0,0,2091,2091
179,2,88,2091,2091,0,0
180,2,968,7,50,48,21
180,2,32,3481,3598,8,0
181,2,87,0,1,2908,2908
181,2,913,2908,2908,1,0
185,2,183,0,1,2052,2052
185,2,817,2051,2052,2,0
186,2,958,0,1,6592,6591
186,2,42,6588,6592,1,0
187,2,60,0,0,1176,1176
187,2,940,1176,1176,0,0
190,2,999,0,2,2613,2500
190,2,1,1678,2404,2,0
191,2,902,0,0,1094,1094
191,2,98,1094,1094,0,0
195,2,518,1,1,35,162
195,2,482,101,30,1,1
197,2,340,0,0,463,463
197,2,660,463,463,0,0
198,2,8,1,61,2452,198
198,2,992,1482,2272,46,2
199,2,984,23,57,52,8
199,2,16,475,730,51,1
203,2,778,0,0,397,397
203,2,222,397,397,0,0
209,2,468,0,0,397,397
209,2,532,397,397,0,0
211,2,9,2,71,993,9
211,2,991,26,103,72,4
212,2,992,0,0,1833,1833
212,2,8,1833,1833,0,0
213,2,5,0,1,1246,1395
213,2,995,1403,1520,0,0
215,2,950,0,3,1409,1293
215,2,50,1340,1389,1,0
216,2,65,0,2,6015,6015
216,2,935,6015,6015,2,0
223,2,39,0,0,1229,1229
223,2,961,1229,1229,0,0
224,2,693,0,7,1111,917
224,2,307,1113,1224,1,0
227,2,999,0,0,205,205
227,2,1,202,205,0,0
229,2,25,0,1,1260,1058
229,2,975,1211,1283,1,0
231,2,808,0,0,1911,1911
231,2,192,1911,1911,0,0
232,2,233,0,1,1676,1670
232,2,767,1674,1676,1,0
233,2,320,0,0,374,374
233,2,680,374,374,0,0
234,2,129,0,10,2190,1748
234,2,871,2135,1876,9,0
235,2,36,0,0,180,180
235,2,964,3,13,16,13
236,2,776,0,2,681,538
236,2,224,153,551,8,0
237,2,344,0,0,32,2
237,2,656,32,32,0,0
238,2,226,0,0,3630,3630
238,2,774,3630,3630,0,0
239,2,11,0,1,969,968
239,2,989,703,607,8,1
241,2,188,0,0,767,767
241,2,812,767,767,0,0
244,2,27,0,1,6016,6017
244,2,973,12,65,72,48
245,2,212,0,0,1248,1243
245,2,788,1246,1248,0,0
247,2,66,0,4,9762,9757
247,2,934,9757,9760,4,0
249,2,519,0,0,51,7
249,2,481,11,51,0,0
251,2,326,0,0,446,442
251,2,674,442,446,0,0
252,2,23,0,0,1324,1324
252,2,977,1324,1324,0,0
255,2,860,0,0,326,326
255,2,140,326,326,0,0
256,2,621,0,1,1540,1539
256,2,379,1539,1540,1,0
257,2,491,0,0,992,991
257,2,509,991,992,0,0
262,2,90,2,93,2659,434
262,2,910,611,1876,86,4
263,2,457,0,0,1136,1136
263,2,543,1136,1136,0,0
266,2,100,0,2,1593,466
266,2,900,1593,1588,3,0
268,2,460,0,0,118,84
268,2,540,84,118,0,0
269,2,35,0,1,1734,1734
269,2,965,1734,1734,1,0
274,2,445,0,0,486,486
274,2,555,486,486,0,0
280,2,887,0,0,371,301
280,2,113,322,366,0,0
283,2,339,0,0,174,165
283,2,661,170,174,0,0
285,2,984,31,78,69,11
285,2,16,961,1570,56,1
286,2,938,0,1,1162,1164
286,2,62,1162,1164,1,0
287,2,404,0,0,115,103
287,2,596,115,115,0,0
290,2,968,0,0,3641,3641
290,2,32,3641,3641,0,0
293,2,14,1,38,2681,2426
293,2,986,2721,2721,1,0
294,2,641,0,0,146,146
294,2,359,146,146,0,0
295,2,6,0,1,1848,1847
295,2,994,1848,1848,0,0
299,2,611,0,0,87,86
299,2,389,75,87,0,0
301,2,554,0,0,109,109
301,2,446,87,109,0,0
302,2,630,0,0,432,432
302,2,370,432,432,0,0
305,2,933,0,1,1361,1359
305,2,67,1360,1361,1,0
306,2,960,0,1,2415,2415
306,2,40,2409,2415,1,0
307,2,450,0,0,674,674
307,2,550,674,674,0,0
309,2,630,0,4,1807,1807
309,2,370,1557,1807,4,0
312,2,47,0,1,4753,4747
312,2,953,4752,4752,1,0
314,2,665,0,1,3774,3766
314,2,335,3733,3774,1,0
315,2,826,0,2,7890,7890
315,2,174,57,7549,81,1
316,2,460,0,1,2491,2481
316,2,540,2491,2491,1,0
317,2,489,3,103,552,56
317,2,511,27,648,111,3
322,2,480,0,0,2219,2216
322,2,520,2216,2219,0,0
323,2,1,0,0,1037,807
323,2,999,980,1046,0,0
324,2,400,0,0,934,934
324,2,600,934,934,0,0
325,2,542,0,1,505,505
325,2,458,505,505,1,0
326,2,4,0,1,1286,1286
326,2,996,1286,1286,1,0
327,2,847,0,0,443,442
327,2,153,436,443,0,0
330,2,4,0,0,235,235
330,2,996,235,235,0,0
332,2,183,0,0,882,882
332,2,817,882,882,0,0
334,2,156,0,0,284,264
334,2,844,262,303,0,0
335,2,985,0,1,1014,1012
335,2,15,988,1014,1,0
337,2,999,0,0,414,414
337,2,1,414,414,0,0
338,2,557,2,97,108,27
338,2,443,2726,2726,1,0
339,2,33,0,3,2531,2531
339,2,967,2499,2531,3,0
340,2,2,0,1,2311,2308
340,2,998,6,81,81,3
342,2,996,2,113,127,34
342,2,4,6,600,125,3
343,2,567,0,0,300,300
343,2,433,300,300,0,0
345,2,534,0,0,153,153
345,2,466,153,153,0,0
348,2,996,2,69,85,251
348,2,4,3693,3694,1,0
351,2,56,2,117,1475,42
351,2,944,6046,6046,2,0
353,2,28,0,4,868,868
353,2,972,4,10,26,13
354,2,12,0,1,695,695
354,2,988,695,695,1,0
356,2,847,0,1,675,675
356,2,153,671,675,1,0
358,2,27,0,1,2393,2393
358,2,973,2393,2393,1,0
359,2,815,0,0,427,416
359,2,185,422,427,0,0
361,2,233,0,0,32,15
361,2,767,30,32,0,0
362,2,730,1,73,1272,35
362,2,270,12,828,76,1
365,2,979,0,0,2373,2373
365,2,21,2373,2373,0,0
368,2,286,0,0,72,70
368,2,714,71,72,0,0
369,2,12,0,1,1073,613
369,2,988,30,37,35,2
371,2,656,0,0,470,464
371,2,344,457,470,0,0
372,2,996,0,1,3870,3868
372,2,4,3867,3867,1,0
374,2,23,0,0,2177,2177
374,2,977,2177,2177,0,0
380,2,909,0,0,125,117
380,2,91,110,125,0,0
381,2,20,0,0,1343,1337
381,2,980,1342,1343,0,0
382,2,148,0,0,706,706
382,2,852,706,706,0,0
383,2,52,0,0,387,387
383,2,948,386,387,0,0
384,2,1,0,0,299,285
384,2,999,298,302,0,0
385,2,986,0,1,2854,2852
385,2,14,2850,2852,1,0
386,2,952,0,0,1008,1008
386,2,48,1008,1008,0,0
389,2,1,0,0,2347,2347
389,2,999,2347,2347,0,0
390,2,12,0,0,1946,1944
390,2,988,1946,1946,0,0
391,2,62,0,1,3649,3642
391,2,938,3649,3649,1,0
392,2,10,0,0,500,500
392,2,990,500,500,0,0
393,2,787,0,0,228,228
393,2,213,226,228,0,0
399,2,471,0,1,293,291
399,2,529,291,293,1,0
400,2,613,0,2,571,521
400,2,387,571,571,2,0
401,2,606,0,1,2232,2232
401,2,394,2232,2232,1,0
402,2,9,0,2,2567,2567
402,2,991,8,66,66,47
403,2,4,37,314,275,15
403,2,996,37,315,274,15
404,2,24,0,1,1756,1756
404,2,976,1756,1756,1,0
405,2,484,0,0,550,550
405,2,516,550,550,0,0
408,2,15,0,2,1712,1669
408,2,985,1709,1714,2,0
409,2,996,0,1,396,396
409,2,4,396,396,1,0
411,2,957,0,11,2086,2072
411,2,43,1681,2086,11,0
412,2,426,2,82,135,25
412,2,574,33,99,99,2
413,2,186,0,0,1842,1842
413,2,814,1842,1842,0,0
414,2,194,2,339,407,1
414,2,806,2871,2871,1,0
416,2,299,0,0,1010,1010
416,2,701,1010,1010,0,0
417,2,57,0,2,2129,2095
417,2,943,2129,2129,2,0
418,2,652,11,35,31,23
418,2,348,2176,2178,1,0
419,2,282,0,0,668,668
419,2,718,668,668,0,0
420,2,449,0,0,905,899
420,2,551,897,905,0,0
421,2,5,0,4,1024,860
421,2,995,1028,1028,4,0
422,2,462,0,2,141,106
422,2,538,101,141,0,0
423,2,114,0,0,1099,1093
423,2,886,1097,1099,0,0
424,2,617,0,0,132,115
424,2,383,120,132,0,0
425,2,23,0,1,3447,3447
425,2,977,3447,3447,1,0
426,2,334,0,0,448,448
426,2,666,448,448,0,0
428,2,960,0,0,134,133
428,2,40,133,134,0,0
431,2,403,0,0,476,476
431,2,597,476,476,0,0
433,2,955,0,0,1283,1283
433,2,45,1283,1283,0,0
434,2,866,0,1,199,199
434,2,134,199,199,1,0
437,2,201,0,1,1050,1047
437,2,799,1044,1050,1,0
438,2,980,1,83,3266,567
438,2,20,865,5744,13,1
441,2,7,0,2,256,146
441,2,993,216,261,3,0
443,2,739,0,0,660,660
443,2,261,8,11,0,0
446,2,990,0,1,2701,2701
446,2,10,2701,2701,1,0
450,2,223,0,0,597,597
450,2,777,597,597,0,0
453,2,22,1,45,3579,1176
453,2,978,47,61,60,10
456,2,11,0,1,1700,1700
456,2,989,1700,1700,1,0
457,2,89,0,1,617,615
457,2,911,511,557,17,1
458,2,599,0,0,159,159
458,2,401,159,159,0,0
461,2,981,0,4,757,715
461,2,19,686,732,6,0
463,2,277,0,0,51,38
463,2,723,51,51,0,0
466,2,988,0,1,1266,1266
466,2,12,1257,1266,1,0
467,2,44,0,0,1409,1409
467,2,956,1409,1409,0,0
469,2,149,0,0,520,520
469,2,851,520,520,0,0
470,2,262,0,0,143,115
470,2,738,128,143,0,0
472,2,14,0,0,490,490
472,2,986,490,490,0,0
475,2,647,0,0,899,899
475,2,353,899,899,0,0
476,2,958,0,0,212,189
476,2,42,191,212,0,0
477,2,978,0,1,5535,5535
477,2,22,5535,5535,1,0
478,2,305,0,0,433,433
478,2,695,433,433,0,0
483,2,713,0,0,1678,1678
483,2,287,1678,1678,0,0
484,2,995,38,69,69,22
484,2,5,4149,4150,2,0
488,2,671,0,0,52,70
488,2,329,44,84,0,0
492,2,995,0,5,79,39
492,2,5,34,64,2,0
494,2,1,1,1,45,44
494,2,999,1022,1022,1,0
497,2,203,0,0,847,847
497,2,797,847,847,0,0
498,2,412,0,0,772,771
498,2,588,771,772,0,0
502,2,998,0,0,374,374
502,2,2,361,374,0,0
504,2,957,0,0,1400,1400
504,2,43,1400,1400,0,0
505,2,4,0,1,3414,3414
505,2,996,32,40,40,36
507,2,465,0,0,911,911
507,2,535,911,911,0,0
508,2,102,0,1,1996,1802
508,2,898,1441,1700,3,0
510,2,16,0,5,5842,5833
510,2,984,571,5703,76,0
512,2,1,0,62,4369,23
512,2,999,31,62,62,10
514,2,2,0,2,2664,699
514,2,998,34,35,35,16
517,2,61,1,19,189,99
517,2,939,210,302,4,0
518,2,9,0,1,1269,1270
518,2,991,1270,1269,1,0
520,2,350,0,0,193,191
520,2,650,187,193,0,0
521,2,990,0,0,947,947
521,2,10,947,947,0,0
525,2,50,0,0,670,669
525,2,950,669,670,0,0
529,2,993,0,14,1407,1780
529,2,7,90,1688,60,1
530,2,64,0,0,733,732
530,2,936,733,733,0,0
534,2,575,0,0,498,498
534,2,425,498,498,0,0
536,2,745,0,0,1233,1233
536,2,255,1232,1233,0,0
539,2,412,0,0,189,186
539,2,588,184,189,0,0
540,2,103,0,0,720,715
540,2,897,712,720,0,0
542,2,69,0,0,1309,1309
542,2,931,1309,1309,0,0
545,2,580,0,1,496,496
545,2,420,496,496,1,0
546,2,9,0,3,5116,5021
546,2,991,2325,2422,56,1
548,2,328,0,0,188,162
548,2,672,159,188,0,0
550,2,269,0,1,1924,1924
550,2,731,1886,1924,1,0
555,2,194,0,1,1417,1381
555,2,806,1413,1417,2,0
560,2,634,0,0,495,495
560,2,366,495,495,0,0
561,2,824,0,0,403,403
561,2,176,403,403,0,0
563,2,29,0,1,1893,1893
563,2,971,1095,1880,14,0
564,2,1,0,2,2375,2375
564,2,999,25,59,59,10
567,2,995,16,49,49,26
567,2,5,2123,2123,1,0
568,2,23,0,0,2382,2382
568,2,977,2382,2382,0,0
570,2,243,0,0,997,997
570,2,757,997,997,0,0
571,2,918,0,1,2765,2765
571,2,82,2756,2765,1,0
574,2,962,0,1,4498,4498
574,2,38,4497,4498,1,0
575,2,479,0,0,114,114
575,2,521,114,114,0,0
576,2,946,0,1,1081,1081
576,2,54,1081,1081,1,0
578,2,645,0,0,251,251
578,2,355,251,251,0,0
581,2,873,0,1,2137,2021
581,2,127,1809,2015,2,0
583,2,21,0,0,351,345
583,2,979,351,351,0,0
584,2,171,0,0,1469,1469
584,2,829,1469,1469,0,0
586,2,943,0,0,161,181
586,2,57,119,206,0,0
588,2,560,0,1,2319,2436
588,2,440,556,583,25,3
590,2,950,1,88,132,122
590,2,50,8480,8484,2,0
591,2,574,0,0,133,132
591,2,426,129,133,0,0
592,2,1,0,0,797,787
592,2,999,797,797,0,0
593,2,953,0,0,991,991
593,2,47,991,991,0,0
594,2,963,0,0,60,45
594,2,37,16,60,0,0
595,2,202,0,1,4802,4802
595,2,798,4802,4802,1,0
597,2,32,0,1,1987,1920
597,2,968,1967,1987,1,0
598,2,258,0,0,533,533
598,2,742,533,533,0,0
600,2,316,0,0,57,18
600,2,684,13,57,0,0
602,2,572,0,0,195,194
602,2,428,194,195,0,0
604,2,7,0,0,4141,4140
604,2,993,4141,4141,0,0
609,2,509,0,0,1769,1765
609,2,491,1767,1769,0,0
610,2,422,0,0,363,363
610,2,578,363,363,0,0
612,2,997,0,1,2521,2513
612,2,3,2460,2514,1,0
613,2,430,0,0,329,329
613,2,570,329,329,0,0
620,2,29,0,0,3544,3543
620,2,971,3543,3544,0,0
621,2,932,0,2,2608,2615
621,2,68,2574,2617,2,0
622,2,10,1,35,665,94
622,2,990,415,195,82,1
623,2,996,0,1,1188,1188
623,2,4,1178,1187,1,0
624,2,997,0,1,1216,1216
624,2,3,1216,1216,1,0
625,2,987,0,0,732,732
625,2,13,732,732,0,0
631,2,165,0,8,3148,863
631,2,835,3015,3192,3,0
633,2,281,0,1,5999,5988
633,2,719,5994,5998,1,0
634,2,978,27,58,58,19
634,2,22,1138,1064,47,1
636,2,967,0,0,761,761
636,2,33,761,761,0,0
638,2,23,0,0,804,803
638,2,977,804,804,0,0
639,2,108,0,0,1441,1442
639,2,892,1441,1445,0,0
641,2,18,0,0,2010,2010
641,2,982,2010,2010,0,0
645,2,26,0,1,5222,5222
645,2,974,21,63,63,24
647,2,135,0,1,2471,2465
647,2,865,2467,2471,1,0
648,2,946,1,83,921,330
648,2,54,3927,3927,2,0
649,2,727,0,1,297,296
649,2,273,296,297,1,0
651,2,225,0,2,1462,1462
651,2,775,1461,1462,2,0
657,2,283,1,56,2471,20
657,2,717,7364,7364,2,0
658,2,685,0,0,2251,2247
658,2,315,2250,2249,0,0
659,2,999,38,40,40,12
659,2,1,1626,1626,2,0
662,2,987,32,92,92,22
662,2,13,32,773,92,2
663,2,18,0,1,2766,2766
663,2,982,2766,2766,1,0
666,2,965,0,0,583,583
666,2,35,583,583,0,0
667,2,51,0,1,950,874
667,2,949,950,950,1,0
669,2,923,0,0,234,229
669,2,77,225,233,0,0
671,2,387,0,0,522,522
671,2,613,522,522,0,0
673,2,865,0,0,2688,2688
673,2,135,2688,2688,0,0
674,2,491,0,0,1320,1320
674,2,509,1320,1320,0,0
675,2,622,0,0,244,244
675,2,378,244,244,0,0
680,2,991,0,2,2309,2279
680,2,9,1391,2161,6,0
681,2,211,0,1,3188,3187
681,2,789,3188,3188,1,0
686,2,423,0,0,1249,1249
686,2,577,1249,1249,0,0
688,2,3,0,10,1581,59
688,2,997,1058,1584,10,0
690,2,12,0,0,2189,2189
690,2,988,2189,2189,0,0
691,2,96,0,0,800,800
691,2,904,800,800,0,0
693,2,92,0,0,2830,2830
693,2,908,2830,2830,0,0
696,2,202,0,1,2548,2548
696,2,798,2548,2548,1,0
697,2,253,0,2,2995,2994
697,2,747,2995,2995,2,0
698,2,279,0,0,407,407
698,2,721,406,407,0,0
700,2,60,0,1,4339,4289
700,2,940,38,1476,68,2
701,2,986,0,0,815,815
701,2,14,755,786,7,0
702,2,503,0,1,3908,3894
702,2,497,3908,3908,1,0
703,2,337,0,0,72,49
703,2,663,64,72,0,0
704,2,490,0,0,960,960
704,2,510,960,960,0,0
707,2,126,0,1,3109,3109
707,2,874,3109,3109,1,0
708,2,642,0,0,713,719
708,2,358,712,722,0,0
709,2,981,0,2,2728,2728
709,2,19,2726,2729,2,0
714,2,17,0,0,40,8
714,2,983,41,43,0,0
716,2,929,0,0,541,541
716,2,71,541,541,0,0
717,2,452,0,0,67,57
717,2,548,33,67,0,0
720,2,255,0,0,1780,1780
720,2,745,1780,1780,0,0
721,2,68,0,0,1222,1222
721,2,932,1222,1222,0,0
724,2,462,0,2,6197,6159
724,2,538,742,4761,70,1
726,2,949,0,1,394,393
726,2,51,231,393,7,0
730,2,807,0,2,562,521
730,2,193,396,477,7,0
731,2,72,0,6,5091,4138
731,2,928,5091,5091,6,0
735,2,999,0,1,5044,5044
735,2,1,913,60,3,0
738,2,648,0,1,2014,2014
738,2,352,2014,2014,1,0
739,2,989,0,1,3995,3995
739,2,11,3995,3995,1,0
740,2,573,0,0,1082,1082
740,2,427,1082,1082,0,0
741,2,627,0,0,315,292
741,2,373,310,314,0,0
743,2,546,0,2,1617,1467
743,2,454,1570,1636,0,0
744,2,473,0,0,95,74
744,2,527,95,95,0,0
746,2,198,0,0,2101,2101
746,2,802,2101,2101,0,0
750,2,650,0,1,3994,3994
750,2,350,3994,3994,1,0
755,2,989,0,0,2793,2793
755,2,11,2793,2793,0,0
756,2,3,0,0,119,109
756,2,997,119,119,0,0
758,2,522,0,17,772,290
758,2,478,641,771,4,0
762,2,538,0,0,1700,1700
762,2,462,1700,1700,0,0
765,2,152,0,1,13,1
765,2,848,4,15,0,0
766,2,522,0,0,261,260
766,2,478,251,261,0,0
777,2,545,0,0,2798,2798
777,2,455,2798,2798,0,0
778,2,994,0,0,2056,2056
778,2,6,2056,2056,0,0
780,2,514,0,0,1884,1884
780,2,486,1884,1884,0,0
781,2,7,0,1,1510,1510
781,2,993,1510,1510,1,0
785,2,100,0,14,2224,1994
785,2,900,2265,2265,1,0
786,2,781,0,0,438,438
786,2,219,437,438,0,0
788,2,22,1,14,364,148
788,2,978,367,367,0,0
790,2,486,0,0,192,186
790,2,514,184,192,0,0
795,2,713,0,0,1017,1017
795,2,287,1017,1017,0,0
796,2,797,0,3,1203,1130
796,2,203,1127,1189,1,0
799,2,948,0,0,446,446
799,2,52,445,446,0,0
800,2,502,0,0,173,173
800,2,498,173,173,0,0
802,2,9,0,1,406,405
802,2,991,406,406,1,0
803,2,992,0,0,2132,2132
803,2,8,2132,2132,0,0
805,2,108,2,108,2538,39
805,2,892,46,533,67,2
806,2,990,1,82,4297,154
806,2,10,22,3033,59,1
817,2,809,0,0,131,118
817,2,191,122,131,0,0
822,2,999,0,5,3279,3276
822,2,1,3278,3265,5,0
823,2,490,0,0,1809,1809
823,2,510,1809,1809,0,0
827,2,682,0,1,949,949
827,2,318,949,949,1,0
829,2,298,0,9,4281,4201
829,2,702,954,4277,9,0
832,2,13,0,0,167,161
832,2,987,167,167,0,0
833,2,98,0,0,699,699
833,2,902,699,699,0,0
837,2,22,1,24,665,664
837,2,978,729,1376,24,1
838,2,852,0,1,1127,1127
838,2,148,1126,1126,1,0
839,2,104,0,0,473,463
839,2,896,471,473,0,0
842,2,22,0,1,308,291
842,2,978,401,435,0,0
844,2,182,0,0,668,668
844,2,818,659,668,0,0
849,2,328,0,0,174,173
849,2,672,172,174,0,0
851,2,707,0,0,289,287
851,2,293,269,289,0,0
854,2,896,0,0,513,513
854,2,104,513,513,0,0
857,2,55,0,0,1243,1239
857,2,945,1242,1243,0,0
858,2,703,3,133,2444,563
858,2,297,615,3129,89,2
859,2,181,0,0,357,357
859,2,819,357,357,0,0
860,2,997,1,46,3900,667
860,2,3,3670,4783,19,0
861,2,718,0,10,1066,706
861,2,282,504,968,14,1
866,2,9,0,0,1390,1390
866,2,991,1390,1390,0,0
867,2,950,0,0,305,253
867,2,50,224,250,1,0
870,2,456,0,0,1958,1958
870,2,544,1958,1958,0,0
871,2,993,2,68,573,16
871,2,7,20,2201,11,0
872,2,41,0,8,3863,3817
872,2,959,20,49,50,13
875,2,977,0,2,5176,5169
875,2,23,5099,5176,2,0
877,2,845,0,0,1379,1379
877,2,155,1379,1379,0,0
878,2,7,0,0,2434,2433
878,2,993,2434,2434,0,0
886,2,163,0,7,2273,2208
886,2,837,2272,2238,7,0
887,2,610,0,0,165,155
887,2,390,149,165,0,0
889,2,238,0,0,212,212
889,2,762,212,212,0,0
890,2,629,0,0,117,116
890,2,371,83,117,0,0
893,2,4,0,1,1302,1302
893,2,996,1302,1302,1,0
894,2,497,0,0,578,578
894,2,503,578,578,0,0
895,2,49,0,0,941,941
895,2,951,941,941,0,0
897,2,628,0,0,1403,1403
897,2,372,1403,1403,0,0
898,2,943,1,59,423,29
898,2,57,1934,1934,2,0
909,2,952,0,5,1774,1470
909,2,48,1687,1857,1,0
910,2,547,0,1,1107,1128
910,2,453,990,1264,1,0
911,2,368,0,0,2816,2816
911,2,632,2816,2816,0,0
912,2,999,27,83,82,7
912,2,1,4271,4270,1,0
913,2,999,0,0,360,329
913,2,1,227,352,1,0
914,2,138,0,0,586,585
914,2,862,586,586,0,0
915,2,509,0,0,820,820
915,2,491,820,820,0,0
916,2,546,0,0,59,24
916,2,454,46,59,0,0
918,2,240,0,0,1488,1488
918,2,760,1488,1488,0,0
922,2,942,0,0,812,812
922,2,58,812,812,0,0
923,2,996,0,26,2922,1639
923,2,4,49,2861,27,0
925,2,963,1,39,2416,1690
925,2,37,485,1693,46,3
926,2,980,0,0,533,533
926,2,20,532,533,0,0
928,2,987,16,30,28,13
928,2,13,1530,1530,0,0
929,2,122,0,4,6840,5448
929,2,878,909,6553,55,0
934,2,292,0,0,994,994
934,2,708,994,994,0,0
935,2,73,1,82,261,10
935,2,927,70,104,33,2
938,2,197,0,0,23,20
938,2,803,0,23,0,0
942,2,105,0,1,2239,2238
942,2,895,2239,2239,1,0
943,2,481,0,0,147,146
943,2,519,142,147,0,0
945,2,991,0,3,378,346
945,2,9,246,329,2,0
946,2,565,0,0,617,615
946,2,435,607,617,0,0
949,2,282,1,9,365,178
949,2,718,472,581,5,0
950,2,406,0,1,2112,2112
950,2,594,2112,2112,1,0
951,2,784,0,0,1638,1638
951,2,216,1638,1638,0,0
952,2,26,1,20,295,39
952,2,974,345,311,1,0
955,2,380,0,0,332,331
955,2,620,332,332,0,0
958,2,483,0,0,119,115
958,2,517,113,119,0,0
961,2,809,0,1,1756,1756
961,2,191,1756,1756,1,0
962,2,12,0,0,481,481
962,2,988,481,481,0,0
963,2,861,0,2,1414,1414
963,2,139,1414,1414,2,0
964,2,20,0,1,5748,5748
964,2,980,5073,5221,13,1
965,2,974,0,1,3326,3326
965,2,26,3322,3326,1,0
966,2,119,0,1,1204,1204
966,2,881,1204,1204,1,0
972,2,757,0,0,301,301
972,2,243,301,301,0,0
974,2,633,0,0,427,417
974,2,367,423,427,0,0
975,2,747,3,67,377,26
975,2,253,2008,2012,1,0
978,2,191,0,0,2321,2319
978,2,809,2316,2321,0,0
980,2,999,0,1,687,687
980,2,1,687,687,1,0
983,2,10,0,3,1034,1028
983,2,990,7,18,19,17
985,2,26,0,1,2084,2084
